"";"Lupin";"Species";"sum.reclassified.x";"Occurrences.site";"sum.reclassified.y";"abundance"
"1";"No";"Achillea millefolium";"2";15;"2";109
"2";"No";"Achillea ptarmica";"2";1;"2";14
"3";"No";"Aegopodium podagraria";"3";2;"3";5
"4";"No";"Aethusa cynapium";"2";1;"2";2
"5";"No";"Alchemilla vulgaris";"2";5;"2";27
"6";"No";"Anemone nemorosa";"0";3;"0";6
"7";"No";"Angelica sylvestris";"2";2;"2";3
"8";"No";"Anthriscus sylvestris";"3";8;"3";39
"9";"No";"Anthyllis vulneraria";"3";2;"3";7
"10";"No";"Argentina anserina";"2";1;"2";4
"11";"No";"Athyrium filix-femina";"2";1;"2";2
"12";"No";"Bunias orientalis";"3";1;"3";1
"13";"No";"Calluna vulgaris";"1";2;"1";6
"14";"No";"Campanula patula";"2";1;"2";2
"15";"No";"Campanula persicifolia";"1";3;"1";9
"16";"No";"Campanula rotundifolia";"0";3;"0";11
"17";"No";"Carex flava";"2";1;"2";2
"18";"No";"Carex leporina";"2";1;"2";2
"19";"No";"Carex pallescens";"2";2;"2";7
"20";"No";"Centaurea jacea";"2";1;"2";9
"21";"No";"Cerastium fontanum";"2";4;"2";18
"22";"No";"Chamaenerion angustifolium";"3";2;"3";9
"23";"No";"Cirsium arvense";"3";6;"3";39
"24";"No";"Cirsium heterophyllum";"3";1;"3";1
"25";"No";"Cirsium palustre";"3";2;"3";2
"26";"No";"Convallaria majalis";"1";1;"1";15
"27";"No";"Cota tinctoria";"0";1;"0";1
"28";"No";"Daucus carota subsp. carota";"2";3;"2";16
"29";"No";"Dianthus deltoides";"0";1;"0";1
"30";"No";"Equisetum arvense";"3";8;"3";76
"31";"No";"Equisetum sylvaticum";"1";5;"1";32
"32";"No";"Euphrasia nemorosa";"0";1;"0";14
"33";"No";"Filipendula ulmaria";"3";2;"3";2
"34";"No";"Fragaria vesca";"2";11;"2";76
"35";"No";"Galium boreale";"1";2;"1";3
"36";"No";"Galium uliginosum";"2";1;"2";3
"37";"No";"Galium verum";"2";1;"2";3
"38";"No";"Gallium mollugo";"3";11;"3";70
"39";"No";"Geranium sylvaticum";"2";3;"2";10
"40";"No";"Geum rivale";"2";2;"2";4
"41";"No";"Geum urbanum";"2";1;"2";4
"42";"No";"Glebionis segetum";"0";1;"0";1
"43";"No";"Hieracium sect. Bifida";"2";1;"2";1
"44";"No";"Hieracium sect. Hieracium agg.";"1";3;"1";23
"45";"No";"Hieracium sect. Tridentata";"2";4;"2";12
"46";"No";"Hieracium sect. Vulgata";"1";1;"1";1
"47";"No";"Hieracium umbellatum";"2";8;"2";44
"48";"No";"Hypericum maculatum";"2";8;"2";25
"49";"No";"Hypericum perforatum";"1";1;"1";1
"50";"No";"Juncus effusus";"3";2;"3";3
"51";"No";"Knautia arvensis";"2";2;"2";14
