County;Lupin;Species;sum.reclassified;count
Uppsala;No;Achillea millefolium;2;8
Uppsala;No;Achillea ptarmica;2;1
Uppsala;No;Aethusa cynapium;2;1
Uppsala;No;Alchemilla vulgaris;2;1
Uppsala;No;Anemone nemorosa;0;2
Uppsala;No;Anthriscus sylvestris;3;6
Uppsala;No;Anthyllis vulneraria;3;1
Uppsala;No;Athyrium filix-femina;2;1
Uppsala;No;Bunias orientalis;3;1
Uppsala;No;Campanula rotundifolia;0;2
Uppsala;No;Carex flava;2;1
Uppsala;No;Cerastium fontanum;2;2
Uppsala;No;Cirsium arvense;3;6
Uppsala;No;Cirsium heterophyllum;3;1
Uppsala;No;Cota tinctoria;0;1
Uppsala;No;Equisetum arvense;3;8
Uppsala;No;Equisetum sylvaticum;1;5
Uppsala;No;Euphrasia nemorosa;0;1
Uppsala;No;Filipendula ulmaria;3;2
Uppsala;No;Fragaria vesca;2;4
Uppsala;No;Galium boreale;1;2
Uppsala;No;Galium verum;2;1
Uppsala;No;Gallium mollugo;3;7
Uppsala;No;Geranium sylvaticum;2;1
Uppsala;No;Geum urbanum;2;1
Uppsala;No;Hieracium sect. Bifida;2;1
Uppsala;No;Hieracium sect. Hieracium agg.;1;1
Uppsala;No;Hieracium sect. Tridentata;2;4
Uppsala;No;Hieracium sect. Vulgata;1;1
Uppsala;No;Hieracium umbellatum;2;5
Uppsala;No;Hypericum maculatum;2;3
Uppsala;No;Lapsana communis;3;2
Uppsala;No;Lathyrus linifolius;1;1
Uppsala;No;Lathyrus pratensis;2;6
Uppsala;No;Leucanthemum vulgare;2;6
Uppsala;No;Linaria vulgaris;0;1
Uppsala;No;Lotus corniculatus;2;2
Uppsala;No;Lupinus polyphyllus;3;8
Uppsala;No;Luzula multiflora;1;2
Uppsala;No;Luzula pilosa;1;1
Uppsala;No;Lychnis flos-cuculi;2;1
Uppsala;No;Myosotis arvensis;2;1
Uppsala;No;Myosotis scorpioides;1;1
Uppsala;No;Noccaea caerulescens;2;2
Uppsala;No;Pilosella cymosa;1;3
Uppsala;No;Pilosella officinarum;0;4
Uppsala;No;Plantago major;1;2
Uppsala;No;Potentilla erecta;1;1
Uppsala;No;Potentilla reptans;2;1
Uppsala;No;Primula veris;1;1
Uppsala;No;Prunella vulgaris;1;1
Uppsala;No;Ranunculus acris subsp. acris;2;7
Uppsala;No;Ranunculus repens;3;3
Uppsala;No;Rubus idaeus;3;2
Uppsala;No;Rubus saxatilis;1;2
Uppsala;No;Rumex acetosa;2;4
Uppsala;No;Rumex acetosella;0;3
Uppsala;No;Rumex longifolius;3;1
Uppsala;No;Sagina procumbens;1;1
Uppsala;No;Sagina revelierei;1;1
Uppsala;No;Scleranthus perennis;0;1
Uppsala;No;Scorzoneroides autumnalis;2;3
Uppsala;No;Solidago virgaurea;2;1
Uppsala;No;Stachys palustris;2;1
Uppsala;No;Stellaria graminea;2;1
Uppsala;No;Succisa pratensis;1;1
Uppsala;No;Taraxacum;3;9
Uppsala;No;Tragopogon pratensis;2;3
Uppsala;No;Trifolium hybridum;3;6
Uppsala;No;Trifolium medium;2;6
Uppsala;No;Trifolium repens;2;1
Uppsala;No;Tripleurospermum inodorum;3;3
Uppsala;No;Tussilago farfara;3;3
Uppsala;No;Veronica arvensis;1;1
Uppsala;No;Veronica beccabunga;2;1
Uppsala;No;Veronica chamaedrys;1;2
Uppsala;No;Veronica officinalis;0;2
Uppsala;No;Vicia cracca;2;5
Uppsala;No;Vicia tetrasperma;2;1
Uppsala;No;Viola canina;1;1
Uppsala;Yes;Achillea millefolium;2;10
Uppsala;Yes;Achillea ptarmica;2;1
Uppsala;Yes;Aethusa cynapium;2;1
Uppsala;Yes;Alchemilla vulgaris;2;1
Uppsala;Yes;Anthriscus sylvestris;3;7
Uppsala;Yes;Athyrium filix-femina;2;1
Uppsala;Yes;Campanula patula;2;1
Uppsala;Yes;Campanula persicifolia;1;2
Uppsala;Yes;Campanula rotundifolia;0;2
Uppsala;Yes;Carex flacca;1;1
Uppsala;Yes;Carex flava;2;1
Uppsala;Yes;Carex leporina;2;1
Uppsala;Yes;Cerastium fontanum;2;2
Uppsala;Yes;Chamaenerion angustifolium;3;1
Uppsala;Yes;Cirsium arvense;3;6
Uppsala;Yes;Cirsium heterophyllum;3;1
Uppsala;Yes;Cota tinctoria;0;1
Uppsala;Yes;Equisetum;1;1
Uppsala;Yes;Equisetum arvense;3;6
Uppsala;Yes;Equisetum sylvaticum;1;4
Uppsala;Yes;Filipendula ulmaria;3;1
Uppsala;Yes;Fragaria vesca;2;4
Uppsala;Yes;Galium boreale;1;2
Uppsala;Yes;Gallium mollugo;3;8
Uppsala;Yes;Geranium sylvaticum;2;1
