County;Site;parnr;Lupin;Species;Swedish.name.x;Occ;Veghgt.avg;Litt.avg;Time.of.immigration;Index.of.invasive.concern;Biodiversity.relevance;Nectar.production;Heat.requirement;Cold.requirement;Temp..optimum;Continentality;Light;Moisture;Soil.reaction..pH.;Nitrogen..N.;Phosphorus..P.;Salinity;Grazing.mowing;Soil.disturbance;Longevity;Pollinator.dependence;Phenology;Extreme.phenology;Seed.dormancy;Seed.bank;Seed.disperser;Nitrogen.fixation;Photosynthetic.pathway;Mycorrhiza;Carnivory;Parasitism;X1.Siliceous.rock;X2.Ultrabasic.rock;X3.Calcareous.rock;X4.Dry.heath;X5..Dry.meadow;X6.Steppic.meadow;X7.Sand.steppe;Swedish.name.y;Family;Dataset;Distribution.in.all.counties;Missing.county;Status;Medelhöjd..cm.;Träd;Management.dependent
Uppsala;Backa;1;No;Anemone nemorosa;Vitsippa;6;23,75;0,2;0;0;3;2;5;4;9;4;4;5;4;6;3;1;4;1;4;1;3;6;4;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Vitsippa;Ranunculaceae;Uppland;yes;;LC;19;0;-1
Uppsala;Backa;1;No;Betula pendula;Vårtbjörk;1;23,75;0,2;0;0;8;1;6;4;8;7;5;4;4;4;3;2;3;5;4;0b;5;4;2;4;AirW;0;C3;EM;0;0;1;1;0;1;1;0;0;Vårtbjörk;Betulaceae;Uppland;yes;;LC;1650;1;NA
Uppsala;Backa;1;No;Campanula patula;Ängsklocka;1;23,75;0,2;2;10,4;3;4;5;8;11;8;6;3;4;4;3;1;1;4;2;1a;8;1;;4;Passive;0;C3;AM;0;0;0;0;0;0;2;0;0;Ängsklocka;Campanulaceae;Uppland;yes;;LC;45;0;1
Uppsala;Backa;1;No;Carex pallescens;Blekstarr;1;23,75;0,2;0;0;4;1;5;3;8;4;5;5;3;4;4;1;4;6;4;0b;7;2;;3;Passive;0;C3;None;0;0;0;0;0;0;0;0;0;Blekstarr;Cyperaceae;Uppland;yes;;LC;42,5;0;1
Uppsala;Backa;1;No;Cirsium arvense;Åkertistel;8;23,75;0,2;0;0;5;5;6;3;7;5;6;5;5;7;4;2;3;2;4;2;9;2;4;4;AirP;0;C3;AM;0;0;0;0;0;0;0;0;0;Åkertistel;Asteraceae;Uppland;yes;;LC;95;0;-1
Uppsala;Backa;1;No;Equisetum arvense;Åkerfräken;8;23,75;0,2;0;0;1;1;2;3;9;5;5;4;6;5;4;2;3;2;4;0b;5;4;;NA;AirD;0;C3;AM;0;0;0;0;0;0;1;0;0;Åkerfräken;Equisetaceae;Uppland;yes;;LC;30;0;0
Uppsala;Backa;1;No;Fragaria vesca;Smultron;12;23,75;0,2;0;0;5;3;4;2;7;4;4;4;5;4;3;2;5;4;4;1;6;3;;4;Bird;0;C3;AM;0;0;0;1;1;1;1;0;0;Smultron;Rosaceae;Uppland;yes;;LC;12,5;0;0
Uppsala;Backa;1;No;Gallium mollugo;Stormåra;9;23,75;0,2;1;4;5;2;4;2;7;5;5;3;5;5;3;1;3;2;4;1;8;1;;3;Passive;0;C3;AM;0;0;0;1;0;0;1;0;0;Stormåra;Rubiaceae;Uppland;yes;;LC;65;0;0
Uppsala;Backa;1;No;Hieracium umbellatum;Flockfibbla;4;23,75;0,2;0;0;4;5;5;3;8;5;6;3;4;4;3;2;3;5;4;1;10;3;;2;AirP;0;C3;AM;0;0;1;1;0;1;1;0;0;Flockfibbla;Asteraceae;Uppland;yes;;LC;52,5;0;0
Uppsala;Backa;1;No;Lathyrus linifolius;Gökärt;14;23,75;0,2;0;0;4;5;9;4;7;4;4;3;3;3;4;1;5;3;4;2a;6;3;3;2;Expl;1;C3;AM;0;0;1;0;0;2;2;0;0;Gökärt;Fabaceae;Uppland;yes;;LC;25;0;1
Uppsala;Backa;1;No;Lathyrus pratensis;Gulvial;6;23,75;0,2;0;0;5;5;3;2;8;5;6;5;5;5;3;2;3;2;4;2a;9;2;3;2;Expl;1;C3;AM;0;0;0;0;0;0;0;0;0;Gulvial;Fabaceae;Uppland;yes;;LC;60;0;1
Uppsala;Backa;1;No;Luzula multiflora;Ängsfryle;2;23,75;0,2;0;0;3;1;4;3;8;5;5;3;4;4;4;1;5;5;3;0b;7;2;;3;Myr;0;C3;None;0;0;0;1;0;0;0;0;0;Ängsfryle;Juncaceae;Uppland;yes;;LC;30;0;2
Uppsala;Backa;1;No;Luzula pilosa;Vårfryle;12;23,75;0,2;0;0;4;1;4;4;9;5;3;4;2;4;3;1;4;4;4;0b;3;6;2;4;Myr;0;C3;None;0;0;0;0;0;0;0;0;0;Vårfryle;Juncaceae;Uppland;yes;;LC;17,5;0;0
Uppsala;Backa;1;No;Noccaea caerulescens;Backskärvfrö;1;23,75;0,2;3;11,6;1;3;3;7;12;7;5;2;4;3;4;1;3;4;3;1;3;6;;NA;Passive;0;C3;None;0;0;0;2;0;0;2;1;0;Backskärvfrö;Brassicaceae;Uppland;yes;;LC;22,5;0;2
Uppsala;Backa;1;No;Ranunculus acris subsp. acris;Smörblomma;1;23,75;0,2;0;0;5;4;2;3;9;5;5;5;4;7;3;2;5;2;4;2;6;3;;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Vanligsmörblomma;Ranunculaceae;Uppland;yes;;LC;45;0;1
Uppsala;Backa;1;No;Rubus idaeus;Hallon;5;23,75;0,2;0;0;6;5;3;4;10;4;5;5;3;6;5;2;1;6;4;1;7;2;4;4;Bird;0;C3;AM;0;0;1;0;0;0;0;0;0;Hallon;Rosaceae;Uppland;yes;;LC;125;0;-1
Uppsala;Backa;1;No;Rumex acetosa;Ängssyra;2;23,75;0,2;0;0;6;1;2;3;9;5;6;5;5;6;4;2;5;4;4;0b;7;2;;3;Passive;0;C3;None;0;0;0;0;0;1;1;0;0;Ängssyra;Polygonaceae;Uppland;yes;;LC;60;0;1
Uppsala;Backa;1;No;Rumex acetosella;Bergsyra;2;23,75;0,2;0;0;6;1;3;2;8;5;6;2;3;2;4;2;5;4;4;0b;7;2;2;4;Passive;0;C3;None;0;0;2;1;0;2;0;0;0;Bergsyra;Polygonaceae;Uppland;yes;;LC;25;0;2
Uppsala;Backa;1;No;Stellaria graminea;Grässtjärnblomma;2;23,75;0,2;0;0;4;3;3;4;10;5;5;4;5;4;3;2;5;3;4;1;7;2;;3;Passive;0;C3;None;0;0;0;1;0;1;1;1;0;Grässtjärnblomma;Caryophyllaceae;Uppland;yes;;LC;20;0;1
Uppsala;Backa;1;No;Veronica chamaedrys;Teveronika;10;23,75;0,2;0;0;4;3;5;3;8;4;4;4;5;5;4;1;5;2;4;1;6;3;;3;Myr;0;C3;AM;0;0;0;0;0;0;2;0;0;Teveronika;Plantaginaceae;Uppland;yes;;LC;20;0;1
Uppsala;Backa;1;No;Veronica officinalis;Ärenpris;4;23,75;0,2;0;0;3;4;5;3;8;4;5;3;5;5;3;2;5;4;4;1;8;1;;4;Passive;0;C3;AM;0;0;1;1;0;2;1;0;0;Ärenpris;Plantaginaceae;Uppland;yes;;LC;20;0;0
Uppsala;Backa;1;Yes;Alchemilla vulgaris;Daggkåpa;3;76,25;2,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Daggkåpa;Rosaceae;Uppland;yes;;;25;0;1
Uppsala;Backa;1;Yes;Betula pendula;Vårtbjörk;1;76,25;2,2;0;0;8;1;6;4;8;7;5;4;4;4;3;2;3;5;4;0b;5;4;2;4;AirW;0;C3;EM;0;0;1;1;0;1;1;0;0;Vårtbjörk;Betulaceae;Uppland;yes;;LC;1650;1;NA
Uppsala;Backa;1;Yes;Cirsium arvense;Åkertistel;7;76,25;2,2;0;0;5;5;6;3;7;5;6;5;5;7;4;2;3;2;4;2;9;2;4;4;AirP;0;C3;AM;0;0;0;0;0;0;0;0;0;Åkertistel;Asteraceae;Uppland;yes;;LC;95;0;-1
