Region;Site;Lupin;Veghgt.avg;Litt.avg
East region;Brobacke;No;4,375;0
East region;Brobacke;Yes;45;0,2
East region;Brunkullsvägen;No;10,625;1,4
East region;Brunkullsvägen;Yes;30;1
East region;Bänntorpet;No;3,75;2,2
East region;Bänntorpet;Yes;33,125;1,6
East region;Enköping;No;2,5;1,4
East region;Enköping;Yes;18,75;1,6
East region;Gullvalla;No;1,875;0
East region;Gullvalla;Yes;73,75;0
East region;Kölnbacken;No;12,5;0,2
East region;Kölnbacken;Yes;66,25;0,4
East region;Lilla harnevi;No;6,875;2,4
East region;Lilla harnevi;Yes;63,75;2
East region;Odensfors;No;13,75;1
East region;Odensfors;Yes;53,75;0,2
East region;Ransta;No;14,375;1,4
East region;Ransta;Yes;51,25;2
East region;Rödmossa;No;6,875;2,2
East region;Rödmossa;Yes;63,75;3,6
East region;Solbo;No;11,875;1
East region;Solbo;Yes;61,25;0,8
East region;Österunda2;No;11,25;1
East region;Österunda2;Yes;46,25;0,2
West region;Bergsviken/Älvsbacka;No;25,625;2,7375
West region;Bergsviken/Älvsbacka;Yes;77,5;2,1
West region;Flugbohöjden/Ettala;No;18,75;2,28125
West region;Flugbohöjden/Ettala;Yes;63,75;2,3875
West region;Gersbysäter/Gersby;No;23,75;2,81875
West region;Gersbysäter/Gersby;Yes;63,75;2,7625
West region;Häggstöd/Nyeds-Backa;No;5;1,5125
West region;Häggstöd/Nyeds-Backa;Yes;48,75;2,525
West region;Jonsbol;No;10;0,275
West region;Jonsbol;Yes;56,25;2,04375
West region;Manhem/Asphyttan;No;12,5;1,29375
West region;Manhem/Asphyttan;Yes;37,5;1,05
West region;Nordsjö;No;15;3,6
West region;Nordsjö;Yes;67,5;2,075
West region;Nykroppa Herrhult;No;19,375;1,0875
West region;Nykroppa Herrhult;Yes;58,75;0,83125
West region;Rämmen-Haget;No;11,25;0,38125
West region;Rämmen-Haget;Yes;41,25;1,38125
West region;Snavlunda äng;No;6,875;0,65625
West region;Snavlunda äng;Yes;52,5;2,6375
West region;Stavkärr/Svinnersta;No;10;2,9
West region;Stavkärr/Svinnersta;Yes;86,25;2,90625
West region;Torsked;No;11,875;2,4375
West region;Torsked;Yes;31,25;2,81875
