County;Site;parnr;Lupin;Species;Veghgt.avg;Litt.avg;Light;Moisture;pH;Nitrogen;Family;Sp.length;Management.dependent;Occurrences;N;E;lat;lng;latdms;lngdms
Uppsala;Brobacke;1;No;Achillea millefolium;4,375;0;6;2;5;5;Asteraceae;45;1;3;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Achillea ptarmica;4,375;0;5;6;4;4;Asteraceae;40;1;14;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Cirsium arvense;4,375;0;6;5;5;7;Asteraceae;95;-1;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Equisetum arvense;4,375;0;5;4;6;5;Equisetaceae;30;0;2;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Euphrasia nemorosa;4,375;0;5;5;3;1;Orobanchaceae;12,5;2;14;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Filipendula ulmaria;4,375;0;5;8;5;8;Rosaceae;100;0;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Gallium mollugo;4,375;0;5;3;5;5;Rubiaceae;65;0;9;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Hieracium sect. Tridentata;4,375;0;6;3;3;4;Asteraceae;70;0;2;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Lathyrus pratensis;4,375;0;6;5;5;5;Fabaceae;60;1;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Linaria vulgaris;4,375;0;6;3;5;5;Plantaginaceae;45;0;3;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Noccaea caerulescens;4,375;0;5;2;4;3;Brassicaceae;22,5;2;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Pilosella cymosa;4,375;0;7;2;6;5;Asteraceae;60;0;6;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Plantago major;4,375;0;5;4;5;5;Plantaginaceae;30;1;3;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Primula veris;4,375;0;5;4;7;4;Primulaceae;20;2;7;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Ranunculus acris subsp. acris;4,375;0;5;5;4;7;Ranunculaceae;45;1;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Ranunculus repens;4,375;0;4;7;5;7;Ranunculaceae;30;0;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Rumex acetosa;4,375;0;6;5;5;6;Polygonaceae;60;1;6;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Rumex acetosella;4,375;0;6;2;3;2;Polygonaceae;25;2;5;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Sagina revelierei;4,375;0;6;5;3;2;Caryophyllaceae;6;1;2;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Scorzoneroides autumnalis;4,375;0;6;5;6;5;Asteraceae;25;1;6;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Taraxacum;4,375;0;NA;NA;NA;NA;Asteraceae;NA;1;2;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Trifolium hybridum;4,375;0;6;4;6;4;Fabaceae;35;1;9;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Tripleurospermum inodorum;4,375;0;6;5;7;8;Asteraceae;50;0;4;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Tussilago farfara;4,375;0;5;6;6;5;Asteraceae;12,5;0;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;No;Vicia cracca;4,375;0;5;5;6;3;Fabaceae;60;1;4;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Achillea millefolium;45;0,2;6;2;5;5;Asteraceae;45;1;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Achillea ptarmica;45;0,2;5;6;4;4;Asteraceae;40;1;8;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Anthriscus sylvestris;45;0,2;5;5;6;7;Apiaceae;100;-1;5;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Campanula patula;45;0,2;6;3;4;4;Campanulaceae;45;1;2;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Cerastium fontanum;45;0,2;5;6;6;5;Caryophyllaceae;20;1;4;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Equisetum arvense;45;0,2;5;4;6;5;Equisetaceae;30;0;15;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Hypericum maculatum;45;0,2;5;3;3;5;Hypericaceae;55;1;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Lathyrus pratensis;45;0,2;6;5;5;5;Fabaceae;60;1;2;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Lupinus polyphyllus;45;0,2;5;3;2;2;Fabaceae;85;-1;16;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
