County;Site;Lupin;rich
Uppsala;Brobacke;No;25
Uppsala;Brobacke;Yes;16
Uppsala;Brunkullsvägen;No;15
Uppsala;Brunkullsvägen;Yes;16
Uppsala;Bänntorpet;No;21
Uppsala;Bänntorpet;Yes;17
Uppsala;Enköping;No;4
Uppsala;Enköping;Yes;7
Uppsala;Gullvalla;No;12
Uppsala;Gullvalla;Yes;12
Uppsala;Kölnbacken;No;15
Uppsala;Kölnbacken;Yes;10
Uppsala;Lilla harnevi;No;6
Uppsala;Lilla harnevi;Yes;8
Uppsala;Odensfors;No;21
Uppsala;Odensfors;Yes;18
Uppsala;Ransta;No;15
Uppsala;Ransta;Yes;11
Uppsala;Rödmossa;No;19
Uppsala;Rödmossa;Yes;14
Uppsala;Solbo;No;20
Uppsala;Solbo;Yes;12
Uppsala;Österunda2;No;24
Uppsala;Österunda2;Yes;24
Värmland;Bergsviken/Älvsbacka;No;11
Värmland;Bergsviken/Älvsbacka;Yes;3
Värmland;Flugbohöjden/Ettala;No;23
Värmland;Flugbohöjden/Ettala;Yes;4
Värmland;Gersbysäter/Gersby;No;16
Värmland;Gersbysäter/Gersby;Yes;5
Värmland;Häggstöd/Nyeds-Backa;No;14
Värmland;Häggstöd/Nyeds-Backa;Yes;7
Värmland;Jonsbol;No;16
Värmland;Jonsbol;Yes;13
Värmland;Manhem/Asphyttan;No;15
Värmland;Manhem/Asphyttan;Yes;11
Värmland;Nordsjö;No;15
Värmland;Nordsjö;Yes;4
Värmland;Nykroppa Herrhult;No;15
Värmland;Nykroppa Herrhult;Yes;4
Värmland;Rämmen-Haget;No;17
Värmland;Rämmen-Haget;Yes;9
Värmland;Snavlunda äng;No;19
Värmland;Snavlunda äng;Yes;3
Värmland;Stavkärr/Svinnersta;No;14
Värmland;Stavkärr/Svinnersta;Yes;8
Värmland;Torsked;No;9
Värmland;Torsked;Yes;5
