County;Site;parnr;Lupin;rich
Uppsala;Backa;1;No;21
Uppsala;Backa;1;Yes;18
Uppsala;Brobacke;1;No;27
Uppsala;Brobacke;1;Yes;17
Uppsala;Brunkullsvägen;1;No;16
Uppsala;Brunkullsvägen;1;Yes;19
Uppsala;Bänntorpet;1;No;25
Uppsala;Bänntorpet;1;Yes;21
Uppsala;Dragkärret;1;No;19
Uppsala;Dragkärret;1;Yes;13
Uppsala;Enköping;1;No;5
Uppsala;Enköping;1;Yes;8
Uppsala;Gamsebo Hagaberg;2;No;10
Uppsala;Gamsebo Hagaberg;2;Yes;8
Uppsala;Gullvalla;2;No;13
Uppsala;Gullvalla;2;Yes;13
Uppsala;Kårbo;1;No;16
Uppsala;Kårbo;1;Yes;9
Uppsala;Kölnbacken;2;No;17
Uppsala;Kölnbacken;2;Yes;11
Uppsala;Larsbo;1;No;13
Uppsala;Larsbo;1;Yes;17
Uppsala;Lilla harnevi;2;No;7
Uppsala;Lilla harnevi;2;Yes;9
Uppsala;Littersbo 1;2;No;24
Uppsala;Littersbo 1;2;Yes;23
Uppsala;Littersbo 2;1;No;14
Uppsala;Littersbo 2;1;Yes;12
Uppsala;Lydinge;2;No;12
Uppsala;Lydinge;2;Yes;12
Uppsala;Missionskyrkan;2;No;20
Uppsala;Missionskyrkan;2;Yes;17
Uppsala;Motocrossbanan ;1;No;21
Uppsala;Motocrossbanan ;1;Yes;22
Uppsala;Odensfors;2;No;23
Uppsala;Odensfors;2;Yes;20
Uppsala;Ransta;1;No;16
Uppsala;Ransta;1;Yes;12
Uppsala;Runhällen;2;No;22
Uppsala;Runhällen;2;Yes;15
Uppsala;Röcklingeås;1;No;18
Uppsala;Röcklingeås;1;Yes;14
Uppsala;Rödmossa;1;No;19
Uppsala;Rödmossa;1;Yes;16
Uppsala;Slutbo;2;No;20
Uppsala;Slutbo;2;Yes;16
Uppsala;Solbo;2;No;21
Uppsala;Solbo;2;Yes;14
Uppsala;Söderfors;1;No;18
Uppsala;Söderfors;1;Yes;19
Uppsala;Sörbäck;2;No;19
Uppsala;Sörbäck;2;Yes;9
Uppsala;Västerby;1;No;17
Uppsala;Västerby;1;Yes;18
Uppsala;Östanbäck;2;No;23
Uppsala;Östanbäck;2;Yes;21
Uppsala;Östanbäcks kloster;1;No;15
Uppsala;Östanbäcks kloster;1;Yes;20
Uppsala;Österunda1;1;No;24
Uppsala;Österunda1;1;Yes;20
Uppsala;Österunda2;1;No;25
Uppsala;Österunda2;1;Yes;25
Värmland;Bergsviken/Älvsbacka;1;No;11
Värmland;Bergsviken/Älvsbacka;1;Yes;4
Värmland;Flugbohöjden/Ettala;1;No;23
Värmland;Flugbohöjden/Ettala;1;Yes;5
Värmland;Gersbysäter/Gersby;1;No;16
Värmland;Gersbysäter/Gersby;1;Yes;8
Värmland;Häggstöd/Nyeds-Backa;2;No;14
Värmland;Häggstöd/Nyeds-Backa;2;Yes;8
Värmland;Jonsbol;1;No;17
Värmland;Jonsbol;1;Yes;14
Värmland;Manhem/Asphyttan;2;No;15
Värmland;Manhem/Asphyttan;2;Yes;13
Värmland;Nordsjö;1;No;16
Värmland;Nordsjö;1;Yes;5
Värmland;Nykroppa Herrhult;1;No;15
Värmland;Nykroppa Herrhult;1;Yes;6
Värmland;Rämmen-Haget;1;No;17
Värmland;Rämmen-Haget;1;Yes;13
Värmland;Snavlunda äng;1;No;19
Värmland;Snavlunda äng;1;Yes;4
Värmland;Stavkärr/Svinnersta;3;No;14
Värmland;Stavkärr/Svinnersta;3;Yes;9
Värmland;Torsked;1;No;9
Värmland;Torsked;1;Yes;6
