Region;Site;parnr;Lupin;shannon;N;E;lat;lng
East region;Backa;1;No;15,04465501;6672431,314;617081,703;60,17194445;17,11027777
East region;Backa;1;Yes;10,40616166;6672431,314;617081,703;60,17194445;17,11027777
East region;Brobacke;1;No;17,93729299;6654622,686;573697,751;60,02222223;16,32222222
East region;Brobacke;1;Yes;10,93479891;6654622,686;573697,751;60,02222223;16,32222222
East region;Gullvalla;2;No;8,702853232;6643020,781;581185,362;59,91666667;16,45194444
East region;Gullvalla;2;Yes;8,174701199;6643020,781;581185,362;59,91666667;16,45194444
East region;Kölnbacken;2;No;10,61666829;6647467,838;571776,943;59,95833333;16,28527779
East region;Kölnbacken;2;Yes;6,795595176;6647467,838;571776,943;59,95833333;16,28527779
East region;Lilla harnevi;2;No;5,303529648;6622216,136;617917,168;59,72111111;17,09666666
East region;Lilla harnevi;2;Yes;5,852768309;6622216,136;617917,168;59,72111111;17,09666666
East region;Missionskyrkan;2;No;14,99789562;6638922,619;594949,382;59,87694445;16,69611111
East region;Missionskyrkan;2;Yes;11,08514132;6638922,619;594949,382;59,87694445;16,69611111
East region;Motocrossbanan ;1;No;12,83239983;6643174,882;602377,956;59,91333333;16,83083334
East region;Motocrossbanan ;1;Yes;13,50154519;6643174,882;602377,956;59,91333333;16,83083334
East region;Ransta;1;No;11,58998029;6649490,25;590583,092;59,97277778;16,62277778
East region;Ransta;1;Yes;7,836073112;6649490,25;590583,092;59,97277778;16,62277778
East region;Runhällen;2;No;14,88408176;6654992,596;602174,864;60,01944444;16,83305556
East region;Runhällen;2;Yes;9,848564293;6654992,596;602174,864;60,01944444;16,83305556
East region;Rödmossa;1;No;13,06309792;6661520,071;602055,72;60,07805556;16,83416667
East region;Rödmossa;1;Yes;11,61695348;6661520,071;602055,72;60,07805556;16,83416667
East region;Söderfors;1;No;12,16136249;6693748,141;623239,063;60,36138889;17,23416666
East region;Söderfors;1;Yes;10,2855491;6693748,141;623239,063;60,36138889;17,23416666
East region;Österunda1;1;No;18,75848917;6633789,678;617800,444;59,825;17,10111111
East region;Österunda1;1;Yes;13,68971771;6633789,678;617800,444;59,825;17,10111111
West region;Bergsviken/Älvsbacka;1;No;8,817448007;6621444,286;424643,157;59,72408;13,66006
West region;Bergsviken/Älvsbacka;1;Yes;3,011685415;6621502,938;424552,082;59,72459;13,65842
West region;Flugbohöjden/Ettala;1;No;19,19399742;6589893,959;468414,497;59,44641;14,44299999
West region;Flugbohöjden/Ettala;1;Yes;3,22714945;6589894,315;468371,968;59,44641;14,44225
West region;Gersbysäter/Gersby;1;No;12,79851848;6632365,339;413495,384;59,81994;13,45739999
West region;Gersbysäter/Gersby;1;Yes;4,852161936;6632348,437;413455,72;59,81978;13,4567
West region;Häggstöd/Nyeds-Backa;2;No;10,82819974;6603856,071;424337,33;59,56613;13,66093
West region;Häggstöd/Nyeds-Backa;2;Yes;5,514564154;6603373,979;424325,918;59,5618;13,66090001
West region;Jonsbol;1;No;11,11092956;6561616,409;454779,032;59,19125;14,20849
West region;Jonsbol;1;Yes;10,74282433;6561602,694;454714,873;59,19112;14,20737
West region;Manhem/Asphyttan;2;No;9,09686706;6610680,146;453745,495;59,63169;14,17982
West region;Manhem/Asphyttan;2;Yes;7,688605806;6610663,505;453740,213;59,63154;14,17972999
West region;Nordsjö;1;No;11,66210806;6621254,271;413623,418;59,72023;13,46427001
West region;Nordsjö;1;Yes;3,446601368;6621252,416;413655,448;59,72022;13,46484001
West region;Nykroppa Herrhult;1;No;11,82047162;6621374,552;456402,293;59,728;14,22471
West region;Nykroppa Herrhult;1;Yes;3,815956766;6621381,352;456392,249;59,72806;14,22453
West region;Rämmen-Haget;1;No;12,14740072;6641003,163;450058,324;59,90352;14,10721
West region;Rämmen-Haget;1;Yes;6,929816189;6641011,184;450041,648;59,90359;14,10691
West region;Snavlunda äng;1;No;14,77264434;6648328,782;494108,301;59,97228;14,89446
West region;Snavlunda äng;1;Yes;3,399469197;6650908,957;494242,954;59,99545;14,89679999
West region;Stavkärr/Svinnersta;3;No;10,00269857;6537580,041;487246,521;58,97761;14,77815999
West region;Stavkärr/Svinnersta;3;Yes;6,347604693;6537598,995;487239,111;58,97778;14,77803001
West region;Torsked;1;No;5,690274218;6616988,264;422533,356;59,68369;13,62420001
West region;Torsked;1;Yes;3,644610488;6617027,742;422563,463;59,68405;13,62472
