County;Site;parnr;Lupin;Species;Veghgt.avg;Litt.avg;Light;Moisture;pH;Nitrogen;Family;Sp.length;Management.dependent;Occurrences
Uppsala;Backa;1;No;Anemone nemorosa;23,75;0,2;4;5;4;6;Ranunculaceae;19;-1;6
Uppsala;Backa;1;No;Campanula patula;23,75;0,2;6;3;4;4;Campanulaceae;45;1;1
Uppsala;Backa;1;No;Carex pallescens;23,75;0,2;5;5;3;4;Cyperaceae;42,5;1;1
Uppsala;Backa;1;No;Cirsium arvense;23,75;0,2;6;5;5;7;Asteraceae;95;-1;8
Uppsala;Backa;1;No;Equisetum arvense;23,75;0,2;5;4;6;5;Equisetaceae;30;0;8
Uppsala;Backa;1;No;Fragaria vesca;23,75;0,2;4;4;5;4;Rosaceae;12,5;0;12
Uppsala;Backa;1;No;Gallium mollugo;23,75;0,2;5;3;5;5;Rubiaceae;65;0;9
Uppsala;Backa;1;No;Hieracium umbellatum;23,75;0,2;6;3;4;4;Asteraceae;52,5;0;4
Uppsala;Backa;1;No;Lathyrus linifolius;23,75;0,2;4;3;3;3;Fabaceae;25;1;14
Uppsala;Backa;1;No;Lathyrus pratensis;23,75;0,2;6;5;5;5;Fabaceae;60;1;6
Uppsala;Backa;1;No;Luzula multiflora;23,75;0,2;5;3;4;4;Juncaceae;30;2;2
Uppsala;Backa;1;No;Luzula pilosa;23,75;0,2;3;4;2;4;Juncaceae;17,5;0;12
Uppsala;Backa;1;No;Noccaea caerulescens;23,75;0,2;5;2;4;3;Brassicaceae;22,5;2;1
Uppsala;Backa;1;No;Ranunculus acris subsp. acris;23,75;0,2;5;5;4;7;Ranunculaceae;45;1;1
Uppsala;Backa;1;No;Rubus idaeus;23,75;0,2;5;5;3;6;Rosaceae;125;-1;5
Uppsala;Backa;1;No;Rumex acetosa;23,75;0,2;6;5;5;6;Polygonaceae;60;1;2
Uppsala;Backa;1;No;Rumex acetosella;23,75;0,2;6;2;3;2;Polygonaceae;25;2;2
Uppsala;Backa;1;No;Stellaria graminea;23,75;0,2;5;4;5;4;Caryophyllaceae;20;1;2
Uppsala;Backa;1;No;Veronica chamaedrys;23,75;0,2;4;4;5;5;Plantaginaceae;20;1;10
Uppsala;Backa;1;No;Veronica officinalis;23,75;0,2;5;3;5;5;Plantaginaceae;20;0;4
Uppsala;Backa;1;Yes;Alchemilla vulgaris;76,25;2,2;NA;NA;NA;NA;Rosaceae;25;1;3
Uppsala;Backa;1;Yes;Cirsium arvense;76,25;2,2;6;5;5;7;Asteraceae;95;-1;7
Uppsala;Backa;1;Yes;Fragaria vesca;76,25;2,2;4;4;5;4;Rosaceae;12,5;0;7
Uppsala;Backa;1;Yes;Hieracium umbellatum;76,25;2,2;6;3;4;4;Asteraceae;52,5;0;2
Uppsala;Backa;1;Yes;Lathyrus linifolius;76,25;2,2;4;3;3;3;Fabaceae;25;1;1
Uppsala;Backa;1;Yes;Lupinus polyphyllus;76,25;2,2;5;3;2;2;Fabaceae;85;-1;16
Uppsala;Backa;1;Yes;Luzula pilosa;76,25;2,2;3;4;2;4;Juncaceae;17,5;0;2
Uppsala;Backa;1;Yes;Noccaea caerulescens;76,25;2,2;5;2;4;3;Brassicaceae;22,5;2;1
Uppsala;Backa;1;Yes;Prunella vulgaris;76,25;2,2;5;6;6;5;Lamiaceae;15;2;4
Uppsala;Backa;1;Yes;Ranunculus acris subsp. acris;76,25;2,2;5;5;4;7;Ranunculaceae;45;1;1
Uppsala;Backa;1;Yes;Rumex acetosa;76,25;2,2;6;5;5;6;Polygonaceae;60;1;1
Uppsala;Backa;1;Yes;Stellaria graminea;76,25;2,2;5;4;5;4;Caryophyllaceae;20;1;11
Uppsala;Backa;1;Yes;Taraxacum;76,25;2,2;NA;NA;NA;NA;Asteraceae;NA;1;1
Uppsala;Backa;1;Yes;Trifolium pratense;76,25;2,2;5;5;6;4;Fabaceae;37,5;1;1
Uppsala;Backa;1;Yes;Veronica chamaedrys;76,25;2,2;4;4;5;5;Plantaginaceae;20;1;11
Uppsala;Backa;1;Yes;Viola canina;76,25;2,2;5;4;3;2;Violaceae;12,5;0;3
Uppsala;Brobacke;1;No;Achillea millefolium;4,375;0;6;2;5;5;Asteraceae;45;1;3
