County;Site;Lupin;rich
Uppsala;Backa;No;20
Uppsala;Backa;Yes;16
Uppsala;Brobacke;No;25
Uppsala;Brobacke;Yes;17
Uppsala;Gullvalla;No;13
Uppsala;Gullvalla;Yes;13
Uppsala;Kölnbacken;No;16
Uppsala;Kölnbacken;Yes;11
Uppsala;Lilla harnevi;No;7
Uppsala;Lilla harnevi;Yes;9
Uppsala;Missionskyrkan;No;20
Uppsala;Missionskyrkan;Yes;17
Uppsala;Motocrossbanan ;No;18
Uppsala;Motocrossbanan ;Yes;19
Uppsala;Ransta;No;15
Uppsala;Ransta;Yes;12
Uppsala;Runhällen;No;19
Uppsala;Runhällen;Yes;14
Uppsala;Rödmossa;No;19
Uppsala;Rödmossa;Yes;15
Uppsala;Söderfors;No;17
Uppsala;Söderfors;Yes;16
Uppsala;Österunda1;No;24
Uppsala;Österunda1;Yes;19
Värmland;Bergsviken/Älvsbacka;No;11
Värmland;Bergsviken/Älvsbacka;Yes;4
Värmland;Flugbohöjden/Ettala;No;23
Värmland;Flugbohöjden/Ettala;Yes;5
Värmland;Gersbysäter/Gersby;No;16
Värmland;Gersbysäter/Gersby;Yes;6
Värmland;Häggstöd/Nyeds-Backa;No;14
Värmland;Häggstöd/Nyeds-Backa;Yes;8
Värmland;Jonsbol;No;16
Värmland;Jonsbol;Yes;14
Värmland;Manhem/Asphyttan;No;15
Värmland;Manhem/Asphyttan;Yes;12
Värmland;Nordsjö;No;15
Värmland;Nordsjö;Yes;5
Värmland;Nykroppa Herrhult;No;15
Värmland;Nykroppa Herrhult;Yes;5
Värmland;Rämmen-Haget;No;17
Värmland;Rämmen-Haget;Yes;10
Värmland;Snavlunda äng;No;19
Värmland;Snavlunda äng;Yes;4
Värmland;Stavkärr/Svinnersta;No;14
Värmland;Stavkärr/Svinnersta;Yes;9
Värmland;Torsked;No;9
Värmland;Torsked;Yes;6
