Region;Site;parnr;Lupin;rich
Uppland;Backa;1;Yes;18
Uppland;Backa;1;No;21
Uppland;Backa;2;Yes;14
Uppland;Backa;2;No;24
Värmland;Bergsviken/Älvsbacka;1;Yes;6
Värmland;Bergsviken/Älvsbacka;1;No;14
Värmland;Bergsviken/Älvsbacka;2;Yes;7
Värmland;Bergsviken/Älvsbacka;2;No;19
Uppland;Brobacke;1;Yes;17
Uppland;Brobacke;1;No;27
Uppland;Brobacke;2;Yes;9
Uppland;Brobacke;2;No;17
Uppland;Brunkullsvägen;1;Yes;19
Uppland;Brunkullsvägen;1;No;16
Uppland;Brunkullsvägen;2;Yes;10
Uppland;Brunkullsvägen;2;No;16
Uppland;Bänntorpet;1;Yes;21
Uppland;Bänntorpet;1;No;25
Uppland;Bänntorpet;2;Yes;20
Uppland;Bänntorpet;2;No;25
Uppland;Dragkärret;1;Yes;13
Uppland;Dragkärret;1;No;19
Uppland;Dragkärret;2;Yes;13
Uppland;Dragkärret;2;No;16
Uppland;Enköping;1;Yes;8
Uppland;Enköping;1;No;5
Uppland;Enköping;2;Yes;10
Uppland;Enköping;2;No;11
Värmland;Flugbohöjden/Ettala;1;Yes;10
Värmland;Flugbohöjden/Ettala;1;No;26
Värmland;Flugbohöjden/Ettala;2;Yes;11
Värmland;Flugbohöjden/Ettala;2;No;22
Uppland;Gamsebo Hagaberg;1;Yes;13
Uppland;Gamsebo Hagaberg;1;No;21
Uppland;Gamsebo Hagaberg;2;Yes;8
Uppland;Gamsebo Hagaberg;2;No;10
Värmland;Gersbysäter/Gersby;1;Yes;12
Värmland;Gersbysäter/Gersby;1;No;20
Värmland;Gersbysäter/Gersby;2;Yes;8
Värmland;Gersbysäter/Gersby;2;No;16
Uppland;Gullvalla;1;Yes;24
Uppland;Gullvalla;1;No;33
Uppland;Gullvalla;2;Yes;13
Uppland;Gullvalla;2;No;13
Värmland;Häggstöd/Nyeds-Backa;1;Yes;18
Värmland;Häggstöd/Nyeds-Backa;1;No;21
Värmland;Häggstöd/Nyeds-Backa;2;Yes;11
Värmland;Häggstöd/Nyeds-Backa;2;No;20
Värmland;Jonsbol;1;Yes;19
Värmland;Jonsbol;1;No;19
Uppland;Kårbo;1;Yes;9
Uppland;Kårbo;1;No;16
Uppland;Kårbo;2;Yes;15
Uppland;Kårbo;2;No;16
Uppland;Kölnbacken;1;Yes;10
Uppland;Kölnbacken;1;No;28
