Site;parnr;Lupin;N;E;lat;lng;latdms;lngdms
Backa;1;Yes;6672431.314;617081.703;60.171944445464646;17.110277774057867;N 60° 102 19.003 ;E 17° 62 37.003 
Backa;1;No;6672431.314;617081.703;60.171944445464646;17.110277774057867;N 60° 102 19.003 ;E 17° 62 37.003 
Backa;2;Yes;6672431.314;617081.703;60.171944445464646;17.110277774057867;N 60° 102 19.003 ;E 17° 62 37.003 
Backa;2;No;6672431.314;617081.703;60.171944445464646;17.110277774057867;N 60° 102 19.003 ;E 17° 62 37.003 
Bergsviken/Älvsbacka;1;Yes;6621502.938;424552.082;59.72459000331586;13.658420000552342;N 59° 432 28.523 ;E 13° 392 30.313 
Bergsviken/Älvsbacka;1;No;6621444.286;424643.157;59.724079999546426;13.66005999897841;N 59° 432 26.693 ;E 13° 392 36.223 
Bergsviken/Älvsbacka;2;Yes;6621488.133;424568.097;59.724460003631;13.65871000256934;N 59° 432 28.063 ;E 13° 392 31.363 
Bergsviken/Älvsbacka;2;No;6621493.859;424560.337;59.72450999824695;13.65857000402578;N 59° 432 28.243 ;E 13° 392 30.853 
Brobacke;1;Yes;6654622.686;573697.751;60.02222222646699;16.322222222879493;N 60° 12 20.003 ;E 16° 192 20.003 
Brobacke;1;No;6654622.686;573697.751;60.02222222646699;16.322222222879493;N 60° 12 20.003 ;E 16° 192 20.003 
Brobacke;2;Yes;6654622.686;573697.751;60.02222222646699;16.322222222879493;N 60° 12 20.003 ;E 16° 192 20.003 
Brobacke;2;No;6654622.686;573697.751;60.02222222646699;16.322222222879493;N 60° 12 20.003 ;E 16° 192 20.003 
Brunkullsvägen;1;Yes;6644062.999;612703.008;59.91861110789624;17.015833331603417;N 59° 552 7.003 ;E 17° 02 57.003 
Brunkullsvägen;1;No;6644062.999;612703.008;59.91861110789624;17.015833331603417;N 59° 552 7.003 ;E 17° 02 57.003 
Brunkullsvägen;2;Yes;6644062.999;612703.008;59.91861110789624;17.015833331603417;N 59° 552 7.003 ;E 17° 02 57.003 
Brunkullsvägen;2;No;6644062.999;612703.008;59.91861110789624;17.015833331603417;N 59° 552 7.003 ;E 17° 02 57.003 
Bänntorpet;1;Yes;6643046.881;602226.068;59.91222222478697;16.82805555033047;N 59° 542 44.003 ;E 16° 492 41.003 
Bänntorpet;1;No;6643046.881;602226.068;59.91222222478697;16.82805555033047;N 59° 542 44.003 ;E 16° 492 41.003 
Bänntorpet;2;Yes;6643046.881;602226.068;59.91222222478697;16.82805555033047;N 59° 542 44.003 ;E 16° 492 41.003 
Bänntorpet;2;No;6643046.881;602226.068;59.91222222478697;16.82805555033047;N 59° 542 44.003 ;E 16° 492 41.003 
Dragkärret;1;Yes;6637862.681;599380.894;59.866388887568505;16.774722214666944;N 59° 512 59.003 ;E 16° 462 29.003 
Dragkärret;1;No;6637862.681;599380.894;59.866388887568505;16.774722214666944;N 59° 512 59.003 ;E 16° 462 29.003 
Dragkärret;2;Yes;6637862.681;599380.894;59.866388887568505;16.774722214666944;N 59° 512 59.003 ;E 16° 462 29.003 
Dragkärret;2;No;6637862.681;599380.894;59.866388887568505;16.774722214666944;N 59° 512 59.003 ;E 16° 462 29.003 
Enköping;1;Yes;6616274.8;617979.682;59.66777777783043;17.094444437988553;N 59° 402 4.003 ;E 17° 52 40.003 
Enköping;1;No;6616274.8;617979.682;59.66777777783043;17.094444437988553;N 59° 402 4.003 ;E 17° 52 40.003 
Enköping;2;Yes;6616274.306;617964.039;59.66777777549593;17.09416667354483;N 59° 402 4.003 ;E 17° 52 39.003 
Enköping;2;No;6616274.306;617964.039;59.66777777549593;17.09416667354483;N 59° 402 4.003 ;E 17° 52 39.003 
Flugbohöjden/Ettala;1;Yes;6589894.315;468371.968;59.446409996954166;14.442249997416946;N 59° 262 47.083 ;E 14° 262 32.103 
Flugbohöjden/Ettala;1;No;6589893.959;468414.497;59.446409999565375;14.442999993796366;N 59° 262 47.083 ;E 14° 262 34.803 
Flugbohöjden/Ettala;2;Yes;6589921.716;468159.538;59.44664000177134;14.438499994186673;N 59° 262 47.903 ;E 14° 262 18.603 
Flugbohöjden/Ettala;2;No;6589920.66;468152.724;59.44663000287134;14.43837999459038;N 59° 262 47.873 ;E 14° 262 18.173 
Gamsebo Hagaberg;1;Yes;6638672.407;594846.876;59.87472221981939;16.694166661996537;N 59° 522 29.003 ;E 16° 412 39.003 
Gamsebo Hagaberg;1;No;6638672.407;594846.876;59.87472221981939;16.694166661996537;N 59° 522 29.003 ;E 16° 412 39.003 
Gamsebo Hagaberg;2;Yes;6638672.407;594846.876;59.87472221981939;16.694166661996537;N 59° 522 29.003 ;E 16° 412 39.003 
