Region;Site;Lupin;N;E;lat;lng;rich
East region;Brobacke;No;6654622,686;573697,751;60,02222223;16,32222222;25
East region;Brobacke;Yes;6654622,686;573697,751;60,02222223;16,32222222;16
East region;Brunkullsvägen;No;6644062,999;612703,008;59,91861111;17,01583333;15
East region;Brunkullsvägen;Yes;6644062,999;612703,008;59,91861111;17,01583333;16
East region;Bänntorpet;No;6643046,881;602226,068;59,91222222;16,82805555;21
East region;Bänntorpet;Yes;6643046,881;602226,068;59,91222222;16,82805555;17
East region;Enköping;No;6616274,8;617979,682;59,66777778;17,09444444;4
East region;Enköping;Yes;6616274,8;617979,682;59,66777778;17,09444444;7
East region;Gullvalla;No;6643020,781;581185,362;59,91666667;16,45194444;12
East region;Gullvalla;Yes;6643020,781;581185,362;59,91666667;16,45194444;12
East region;Kölnbacken;No;6647467,838;571776,943;59,95833333;16,28527779;15
East region;Kölnbacken;Yes;6647467,838;571776,943;59,95833333;16,28527779;10
East region;Lilla harnevi;No;6622216,136;617917,168;59,72111111;17,09666666;6
East region;Lilla harnevi;Yes;6622216,136;617917,168;59,72111111;17,09666666;8
East region;Odensfors;No;6680860,924;630155,667;60,24361111;17,35111111;21
East region;Odensfors;Yes;6680860,924;630155,667;60,24361111;17,35111111;18
East region;Ransta;No;6649490,25;590583,092;59,97277778;16,62277778;15
East region;Ransta;Yes;6649490,25;590583,092;59,97277778;16,62277778;11
East region;Rödmossa;No;6661520,071;602055,72;60,07805556;16,83416667;19
East region;Rödmossa;Yes;6661520,071;602055,72;60,07805556;16,83416667;14
East region;Solbo;No;6637867,687;599567,525;59,86638889;16,77805556;20
East region;Solbo;Yes;6637867,687;599567,525;59,86638889;16,77805556;12
East region;Österunda2;No;6633357,23;617829,747;59,82111111;17,10138889;24
East region;Österunda2;Yes;6633357,23;617829,747;59,82111111;17,10138889;24
West region;Bergsviken/Älvsbacka;No;6621444,286;424643,157;59,72408;13,66006;11
West region;Bergsviken/Älvsbacka;Yes;6621444,286;424643,157;59,72408;13,66006;3
West region;Flugbohöjden/Ettala;No;6589893,959;468414,497;59,44641;14,44299999;23
West region;Flugbohöjden/Ettala;Yes;6589893,959;468414,497;59,44641;14,44299999;4
West region;Gersbysäter/Gersby;No;6632365,339;413495,384;59,81994;13,45739999;16
West region;Gersbysäter/Gersby;Yes;6632365,339;413495,384;59,81994;13,45739999;5
West region;Häggstöd/Nyeds-Backa;No;6603856,071;424337,33;59,56613;13,66093;14
West region;Häggstöd/Nyeds-Backa;Yes;6603856,071;424337,33;59,56613;13,66093;7
West region;Jonsbol;No;6561616,409;454779,032;59,19125;14,20849;16
West region;Jonsbol;Yes;6561616,409;454779,032;59,19125;14,20849;13
West region;Manhem/Asphyttan;No;6610680,146;453745,495;59,63169;14,17982;15
West region;Manhem/Asphyttan;Yes;6610680,146;453745,495;59,63169;14,17982;11
West region;Nordsjö;No;6621254,271;413623,418;59,72023;13,46427001;15
West region;Nordsjö;Yes;6621254,271;413623,418;59,72023;13,46427001;4
West region;Nykroppa Herrhult;No;6621374,552;456402,293;59,728;14,22471;15
West region;Nykroppa Herrhult;Yes;6621374,552;456402,293;59,728;14,22471;4
West region;Rämmen-Haget;No;6641003,163;450058,324;59,90352;14,10721;17
West region;Rämmen-Haget;Yes;6641003,163;450058,324;59,90352;14,10721;9
West region;Snavlunda äng;No;6650908,957;494242,954;59,99545;14,89679999;19
West region;Snavlunda äng;Yes;6650908,957;494242,954;59,99545;14,89679999;3
West region;Stavkärr/Svinnersta;No;6537580,041;487246,521;58,97761;14,77815999;14
West region;Stavkärr/Svinnersta;Yes;6537580,041;487246,521;58,97761;14,77815999;8
West region;Torsked;No;6616988,264;422533,356;59,68369;13,62420001;9
West region;Torsked;Yes;6616988,264;422533,356;59,68369;13,62420001;5
