Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
No;Ranunculus.acris.subsp..acris;TRUE;1;57;7;2,8;11,2;7;1,8;1,3
No;Fragaria.vesca;TRUE;2;47;5,7;0,9;10,6;12,7;1,7;2,6
No;Leucanthemum.vulgare;TRUE;3;46;5,6;1,6;9,7;18,3;1,7;3,9
No;Achillea.millefolium;FALSE;4;36;4,4;1,2;7,6;22,7;1,6;5,3
No;Taraxacum;FALSE;5;28;3,4;0,2;6,7;26,2;1,4;6,6
No;Luzula.multiflora;FALSE;6;25;3,1;-0,4;6,5;29,2;1,4;7,9
No;Hieracium.sect..Hieracium.agg.;FALSE;7;22;2,7;-1,5;6,9;31,9;1,3;9,2
No;Lotus.corniculatus;FALSE;8;21;2,6;-1,1;6,2;34,5;1,3;10,5
No;Potentilla.erecta;FALSE;9;21;2,6;0,1;5,1;37;1,3;11,8
No;Trifolium.pratense;FALSE;10;21;2,6;-0,3;5,5;39,6;1,3;13,2
No;Hypericum.maculatum;FALSE;11;20;2,4;-1,7;6,6;42,1;1,3;14,5
No;Lathyrus.pratensis;FALSE;12;18;2,2;-1,5;5,9;44,3;1,3;15,8
No;Pimpinella.saxifraga;FALSE;13;18;2,2;-0,8;5,2;46,5;1,3;17,1
No;Veronica.chamaedrys;FALSE;14;18;2,2;-1;5,4;48,7;1,3;18,4
No;Vicia.cracca;FALSE;15;18;2,2;0,2;4,2;50,9;1,3;19,7
No;Viola.canina;FALSE;16;18;2,2;-0,3;4,7;53,1;1,3;21,1
No;Daucus.carota.subsp..carota;FALSE;17;16;2;-0,5;4,4;55;1,2;22,4
No;Melampyrum.sylvaticum;FALSE;18;16;2;-2,2;6,2;57;1,2;23,7
No;Vaccinium.vitis.idaea;FALSE;19;16;2;-2,4;6,3;58,9;1,2;25
No;Convallaria.majalis;FALSE;20;15;1,8;-2,4;6;60,8;1,2;26,3
No;Veronica.officinalis;FALSE;21;15;1,8;-1,1;4,8;62,6;1,2;27,6
No;Knautia.arvensis;FALSE;22;14;1,7;-0,9;4,4;64,3;1,1;28,9
No;Anthriscus.sylvestris;FALSE;23;13;1,6;-1,8;4,9;65,9;1,1;30,3
No;Rubus.saxatilis;FALSE;24;13;1,6;-2;5,2;67,5;1,1;31,6
No;Lychnis.flos.cuculi;FALSE;25;12;1,5;-0,4;3,4;68,9;1,1;32,9
No;Alchemilla.vulgaris;FALSE;26;11;1,3;0;2,7;70,3;1;34,2
No;Rumex.acetosa;FALSE;27;11;1,3;0,1;2,6;71,6;1;35,5
No;Plantago.major;FALSE;28;10;1,2;-1,2;3,6;72,9;1;36,8
No;Trifolium.hybridum;FALSE;29;10;1,2;-0,8;3,2;74,1;1;38,2
No;Campanula.persicifolia;FALSE;30;9;1,1;-0,2;2,4;75,2;1;39,5
No;Centaurea.jacea;FALSE;31;9;1,1;-1,3;3,5;76,3;1;40,8
No;Chamaenerion.angustifolium;FALSE;32;9;1,1;-0,9;3,1;77,4;1;42,1
No;Hieracium.umbellatum;FALSE;33;9;1,1;-0,2;2,4;78,5;1;43,4
No;Succisa.pratensis;FALSE;34;9;1,1;-1;3,2;79,6;1;44,7
No;Trifolium.repens;FALSE;35;9;1,1;0;2,2;80,7;1;46,1
No;Cerastium.fontanum;FALSE;36;8;1;-0,6;2,6;81,7;0,9;47,4
No;Carex.pallescens;FALSE;37;7;0,9;-0,4;2,1;82,5;0,8;48,7
No;Gallium.mollugo;FALSE;38;7;0,9;0;1,7;83,4;0,8;50
No;Lathyrus.linifolius;FALSE;39;7;0,9;-0,7;2,4;84,2;0,8;51,3
No;Prunella.vulgaris;FALSE;40;7;0,9;-0,8;2,5;85,1;0,8;52,6
No;Tussilago.farfara;FALSE;41;7;0,9;-0,4;2,1;85,9;0,8;53,9
No;Calluna.vulgaris;FALSE;42;6;0,7;-0,5;2;86,7;0,8;55,3
No;Geranium.sylvaticum;FALSE;43;6;0,7;-0,5;2;87,4;0,8;56,6
No;Pilosella.officinarum;FALSE;44;6;0,7;-0,4;1,9;88,1;0,8;57,9
No;Potentilla.argentea;FALSE;45;6;0,7;-0,9;2,3;88,9;0,8;59,2
No;Rhinanthus.minor;FALSE;46;6;0,7;-0,5;2;89,6;0,8;60,5
No;Rumex.acetosella;FALSE;47;6;0,7;-0,6;2,1;90,3;0,8;61,8
No;Aegopodium.podagraria;FALSE;48;5;0,6;-0,4;1,6;91;0,7;63,2
No;Stellaria.longifolia;FALSE;49;5;0,6;-0,5;1,7;91,6;0,7;64,5
No;Trifolium.spadiceum;FALSE;50;5;0,6;-0,6;1,9;92,2;0,7;65,8
No;Argentina.anserina;FALSE;51;4;0,5;-0,5;1,5;92,7;0,6;67,1
No;Geum.rivale;FALSE;52;4;0,5;-0,2;1,2;93,2;0,6;68,4
No;Luzula.pilosa;FALSE;53;4;0,5;-0,3;1,3;93,6;0,6;69,7
No;Trifolium.medium;FALSE;54;4;0,5;-0,5;1,5;94,1;0,6;71,1
No;Verbascum.nigrum;FALSE;55;4;0,5;-0,6;1,6;94,6;0,6;72,4
No;Viola.riviniana;FALSE;56;4;0,5;-0,3;1,2;95,1;0,6;73,7
No;Angelica.sylvestris;FALSE;57;3;0,4;-0,2;0,9;95,5;0,5;75
No;Anthyllis.vulneraria;FALSE;58;3;0,4;-0,4;1,2;95,8;0,5;76,3
No;Galium.uliginosum;FALSE;59;3;0,4;-0,4;1,2;96,2;0,5;77,6
No;Juncus.effusus;FALSE;60;3;0,4;-0,2;1;96,6;0,5;78,9
No;Plantago.lanceolata;FALSE;61;3;0,4;-0,4;1,2;96,9;0,5;80,3
No;Rubus.arcticus;FALSE;62;3;0,4;-0,4;1,2;97,3;0,5;81,6
No;Campanula.patula;FALSE;63;2;0,2;-0,3;0,8;97,6;0,3;82,9
No;Carex.leporina;FALSE;64;2;0,2;-0,3;0,8;97,8;0,3;84,2
No;Cirsium.palustre;FALSE;65;2;0,2;-0,1;0,6;98;0,3;85,5
No;Moehringia.trinervia;FALSE;66;2;0,2;-0,3;0,8;98,3;0,3;86,8
No;Silene.vulgaris;FALSE;67;2;0,2;-0,3;0,8;98,5;0,3;88,2
No;Solidago.canadensis;FALSE;68;2;0,2;-0,3;0,8;98,8;0,3;89,5
No;Vaccinium.myrtillus;FALSE;69;2;0,2;-0,3;0,8;99;0,3;90,8
No;Vicia.sepium;FALSE;70;2;0,2;-0,3;0,8;99,3;0,3;92,1
No;Anemone.nemorosa;FALSE;71;1;0,1;-0,1;0,4;99,4;0;93,4
No;Campanula.rotundifolia;FALSE;72;1;0,1;-0,1;0,4;99,5;0;94,7
No;Dianthus.deltoides;FALSE;73;1;0,1;-0,1;0,4;99,6;0;96,1
No;Glebionis.segetum;FALSE;74;1;0,1;-0,2;0,4;99,8;0;97,4
No;Hypericum.perforatum;FALSE;75;1;0,1;-0,1;0,4;99,9;0;98,7
No;Trifolium.aureoum;FALSE;76;1;0,1;-0,1;0,4;100;0;100
Yes;Fragaria.vesca;TRUE;1;35;12,3;0,9;23,7;12,3;1,5;2,5
Yes;Ranunculus.acris.subsp..acris;TRUE;2;31;10,9;1,4;20,3;23,2;1,5;5
Yes;Achillea.millefolium;TRUE;3;23;8,1;0,8;15,3;31,2;1,4;7,5
Yes;Trifolium.pratense;FALSE;4;20;7;-0,2;14,3;38,2;1,3;10
Yes;Vaccinium.vitis.idaea;FALSE;5;16;5,6;-5;16,3;43,9;1,2;12,5
Yes;Potentilla.erecta;FALSE;6;15;5,3;-1,1;11,6;49,1;1,2;15
Yes;Campanula.rotundifolia;FALSE;7;10;3,5;-2,3;9,3;52,6;1;17,5
Yes;Gallium.mollugo;FALSE;8;10;3,5;-2,5;9,6;56,1;1;20
Yes;Anthriscus.sylvestris;FALSE;9;9;3,2;-2,3;8,7;59,3;1;22,5
Yes;Solidago.canadensis;FALSE;10;9;3,2;-4,1;10,4;62,5;1;25
Yes;Lathyrus.pratensis;FALSE;11;8;2,8;-2,5;8,1;65,3;0,9;27,5
Yes;Taraxacum;FALSE;12;8;2,8;-0,6;6,2;68,1;0,9;30
Yes;Vicia.cracca;FALSE;13;8;2,8;-1,2;6,8;70,9;0,9;32,5
Yes;Calluna.vulgaris;FALSE;14;7;2,5;-1,5;6,4;73,3;0,8;35
