Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
No;Achillea.millefolium;TRUE;1;109;6;3,2;8,7;6;2;0,9
No;Ranunculus.acris.subsp..acris;TRUE;2;98;5,4;2,9;7,8;11,3;2;1,7
No;Equisetum.arvense;TRUE;3;76;4,2;1,5;6,8;15,5;1,9;2,6
No;Fragaria.vesca;FALSE;4;76;4,2;1,4;6,9;19,6;1,9;3,4
No;Leucanthemum.vulgare;FALSE;5;71;3,9;1,7;6;23,5;1,9;4,3
No;Gallium.mollugo;FALSE;6;70;3,8;1,4;6,2;27,3;1,8;5,1
No;Taraxacum;FALSE;7;66;3,6;1,9;5,4;30,9;1,8;6
No;Trifolium.hybridum;FALSE;8;52;2,8;0,7;5;33,8;1,7;6,8
No;Lotus.corniculatus;FALSE;9;45;2,5;0,1;4,8;36,2;1,7;7,7
No;Trifolium.medium;FALSE;10;45;2,5;0,2;4,7;38,7;1,7;8,5
No;Hieracium.umbellatum;FALSE;11;44;2,4;0,5;4,3;41,1;1,6;9,4
No;Lathyrus.pratensis;FALSE;12;43;2,3;0,4;4,3;43,4;1,6;10,3
No;Anthriscus.sylvestris;FALSE;13;39;2,1;0,2;4,1;45,5;1,6;11,1
No;Cirsium.arvense;FALSE;14;39;2,1;0;4,3;47,7;1,6;12
No;Vicia.cracca;FALSE;15;39;2,1;0,8;3,4;49,8;1,6;12,8
No;Veronica.chamaedrys;FALSE;16;35;1,9;0;3,9;51,7;1,5;13,7
No;Rubus.saxatilis;FALSE;17;33;1,8;-0,5;4,1;53,5;1,5;14,5
No;Equisetum.sylvaticum;FALSE;18;32;1,7;0,1;3,4;55,3;1,5;15,4
No;Viola.canina;FALSE;19;32;1,7;-0,2;3,7;57;1,5;16,2
No;Alchemilla.vulgaris;FALSE;20;27;1,5;-0,4;3,3;58,5;1,4;17,1
No;Luzula.multiflora;FALSE;21;27;1,5;-0,1;3,1;60;1,4;17,9
No;Tussilago.farfara;FALSE;22;26;1,4;0;2,8;61,4;1,4;18,8
No;Hypericum.maculatum;FALSE;23;25;1,4;-0,4;3,2;62,8;1,4;19,7
No;Potentilla.erecta;FALSE;24;25;1,4;0,2;2,6;64,1;1,4;20,5
No;Hieracium.sect..Hieracium.agg.;FALSE;25;23;1,3;-0,5;3,1;65,4;1,4;21,4
No;Veronica.officinalis;FALSE;26;23;1,3;-0,2;2,7;66,6;1,4;22,2
No;Pilosella.cymosa;FALSE;27;22;1,2;-0,5;2,9;67,8;1,3;23,1
No;Pilosella.officinarum;FALSE;28;21;1,1;-0,2;2,5;69;1,3;23,9
No;Rumex.acetosa;FALSE;29;21;1,1;0,3;2;70,1;1,3;24,8
No;Trifolium.pratense;FALSE;30;21;1,1;-0,2;2,5;71,3;1,3;25,6
No;Cerastium.fontanum;FALSE;31;18;1;-0,1;2,1;72,3;1,3;26,5
No;Pimpinella.saxifraga;FALSE;32;18;1;-0,3;2,3;73,2;1,3;27,4
No;Daucus.carota.subsp..carota;FALSE;33;16;0,9;-0,2;2;74,1;1,2;28,2
No;Melampyrum.sylvaticum;FALSE;34;16;0,9;-0,9;2,7;75;1,2;29,1
No;Vaccinium.vitis.idaea;FALSE;35;16;0,9;-0,9;2,7;75,9;1,2;29,9
No;Convallaria.majalis;FALSE;36;15;0,8;-0,9;2,6;76,7;1,2;30,8
No;Lychnis.flos.cuculi;FALSE;37;15;0,8;-0,1;1,7;77,5;1,2;31,6
No;Plantago.major;FALSE;38;15;0,8;-0,3;1,9;78,3;1,2;32,5
No;Achillea.ptarmica;FALSE;39;14;0,8;-0,8;2,3;79,1;1,1;33,3
No;Euphrasia.nemorosa;FALSE;40;14;0,8;-0,8;2,3;79,8;1,1;34,2
No;Knautia.arvensis;FALSE;41;14;0,8;-0,4;1,9;80,6;1,1;35
No;Rumex.acetosella;FALSE;42;14;0,8;0;1,6;81,4;1,1;35,9
No;Tripleurospermum.inodorum;FALSE;43;14;0,8;-0,2;1,7;82,1;1,1;36,8
No;Hieracium.sect..Tridentata;FALSE;44;12;0,7;0;1,3;82,8;1,1;37,6
No;Trifolium.repens;FALSE;45;12;0,7;0;1,3;83,5;1,1;38,5
No;Campanula.rotundifolia;FALSE;46;11;0,6;-0,2;1,4;84,1;1;39,3
No;Geranium.sylvaticum;FALSE;47;10;0,5;-0,1;1,2;84,6;1;40,2
No;Scorzoneroides.autumnalis;FALSE;48;10;0,5;-0,2;1,3;85,1;1;41
No;Stachys.palustris;FALSE;49;10;0,5;-0,6;1,7;85,7;1;41,9
No;Succisa.pratensis;FALSE;50;10;0,5;-0,4;1,4;86,2;1;42,7
No;Campanula.persicifolia;FALSE;51;9;0,5;-0,1;1,1;86,7;1;43,6
No;Centaurea.jacea;FALSE;52;9;0,5;-0,5;1,5;87,2;1;44,4
No;Chamaenerion.angustifolium;FALSE;53;9;0,5;-0,3;1,3;87,7;1;45,3
No;Prunella.vulgaris;FALSE;54;9;0,5;-0,2;1,2;88,2;1;46,2
No;Ranunculus.repens;FALSE;55;9;0,5;-0,1;1,1;88,7;1;47
No;Lathyrus.linifolius;FALSE;56;8;0,4;-0,2;1,1;89,1;0,9;47,9
No;Noccaea.caerulescens;FALSE;57;8;0,4;-0,3;1,2;89,6;0,9;48,7
No;Tragopogon.pratensis;FALSE;58;8;0,4;-0,1;1;90;0,9;49,6
No;Anthyllis.vulneraria;FALSE;59;7;0,4;-0,2;0,9;90,4;0,8;50,4
No;Carex.pallescens;FALSE;60;7;0,4;-0,2;0,9;90,8;0,8;51,3
No;Potentilla.reptans;FALSE;61;7;0,4;-0,4;1,2;91,2;0,8;52,1
No;Primula.veris;FALSE;62;7;0,4;-0,4;1,2;91,5;0,8;53
No;Veronica.arvensis;FALSE;63;7;0,4;-0,4;1,2;91,9;0,8;53,8
No;Anemone.nemorosa;FALSE;64;6;0,3;-0,1;0,8;92,2;0,8;54,7
No;Calluna.vulgaris;FALSE;65;6;0,3;-0,2;0,9;92,6;0,8;55,6
No;Potentilla.argentea;FALSE;66;6;0,3;-0,4;1;92,9;0,8;56,4
No;Rhinanthus.minor;FALSE;67;6;0,3;-0,2;0,9;93,2;0,8;57,3
No;Aegopodium.podagraria;FALSE;68;5;0,3;-0,1;0,7;93,5;0,7;58,1
No;Lapsana.communis;FALSE;69;5;0,3;-0,2;0,7;93,8;0,7;59
No;Luzula.pilosa;FALSE;70;5;0,3;-0,1;0,6;94;0,7;59,8
No;Stellaria.longifolia;FALSE;71;5;0,3;-0,2;0,7;94,3;0,7;60,7
No;Trifolium.spadiceum;FALSE;72;5;0,3;-0,3;0,8;94,6;0,7;61,5
No;Argentina.anserina;FALSE;73;4;0,2;-0,2;0,7;94,8;0,6;62,4
No;Geum.rivale;FALSE;74;4;0,2;-0,1;0,5;95;0,6;63,2
No;Geum.urbanum;FALSE;75;4;0,2;-0,2;0,7;95,2;0,6;64,1
No;Verbascum.nigrum;FALSE;76;4;0,2;-0,2;0,7;95,5;0,6;65
No;Viola.riviniana;FALSE;77;4;0,2;-0,1;0,5;95,7;0,6;65,8
No;Angelica.sylvestris;FALSE;78;3;0,2;-0,1;0,4;95,8;0,5;66,7
No;Galium.boreale;FALSE;79;3;0,2;-0,1;0,4;96;0,5;67,5
No;Galium.uliginosum;FALSE;80;3;0,2;-0,2;0,5;96,2;0,5;68,4
No;Galium.verum;FALSE;81;3;0,2;-0,2;0,5;96,3;0,5;69,2
No;Juncus.effusus;FALSE;82;3;0,2;-0,1;0,4;96,5;0,5;70,1
No;Linaria.vulgaris;FALSE;83;3;0,2;-0,2;0,5;96,7;0,5;70,9
No;Myosotis.scorpioides;FALSE;84;3;0,2;-0,2;0,5;96,8;0,5;71,8
No;Plantago.lanceolata;FALSE;85;3;0,2;-0,2;0,5;97;0,5;72,6
No;Rubus.arcticus;FALSE;86;3;0,2;-0,2;0,5;97,2;0,5;73,5
No;Veronica.beccabunga;FALSE;87;3;0,2;-0,2;0,5;97,3;0,5;74,4
No;Vicia.tetrasperma;FALSE;88;3;0,2;-0,2;0,5;97,5;0,5;75,2
No;Aethusa.cynapium;FALSE;89;2;0,1;-0,1;0,3;97,6;0,3;76,1
No;Athyrium.filix.femina;FALSE;90;2;0,1;-0,1;0,3;97,7;0,3;76,9
No;Campanula.patula;FALSE;91;2;0,1;-0,1;0,3;97,8;0,3;77,8
No;Carex.flava;FALSE;92;2;0,1;-0,1;0,3;97,9;0,3;78,6
No;Carex.leporina;FALSE;93;2;0,1;-0,1;0,3;98;0,3;79,5
No;Cirsium.palustre;FALSE;94;2;0,1;0;0,3;98,1;0,3;80,3
No;Filipendula.ulmaria;FALSE;95;2;0,1;0;0,3;98,3;0,3;81,2
No;Moehringia.trinervia;FALSE;96;2;0,1;-0,1;0,3;98,4;0,3;82,1
No;Myosotis.arvensis;FALSE;97;2;0,1;-0,1;0,3;98,5;0,3;82,9
No;Rubus.idaeus;FALSE;98;2;0,1;0;0,3;98,6;0,3;83,8
No;Sagina.procumbens;FALSE;99;2;0,1;-0,1;0,3;98,7;0,3;84,6
No;Sagina.revelierei;FALSE;100;2;0,1;-0,1;0,3;98,8;0,3;85,5
No;Silene.vulgaris;FALSE;101;2;0,1;-0,1;0,3;98,9;0,3;86,3
No;Solidago.canadensis;FALSE;102;2;0,1;-0,1;0,3;99;0,3;87,2
No;Solidago.virgaurea;FALSE;103;2;0,1;-0,1;0,3;99,1;0,3;88
No;Vaccinium.myrtillus;FALSE;104;2;0,1;-0,1;0,3;99,2;0,3;88,9
No;Vicia.sepium;FALSE;105;2;0,1;-0,1;0,3;99,3;0,3;89,7
No;Bunias.orientalis;FALSE;106;1;0,1;-0,1;0,2;99,4;0;90,6
No;Cirsium.heterophyllum;FALSE;107;1;0,1;-0,1;0,2;99,5;0;91,5
No;Cota.tinctoria;FALSE;108;1;0,1;-0,1;0,2;99,5;0;92,3
No;Dianthus.deltoides;FALSE;109;1;0,1;-0,1;0,2;99,6;0;93,2
No;Glebionis.segetum;FALSE;110;1;0,1;-0,1;0,2;99,6;0;94
No;Hieracium.sect..Bifida;FALSE;111;1;0,1;-0,1;0,2;99,7;0;94,9
No;Hieracium.sect..Vulgata;FALSE;112;1;0,1;-0,1;0,2;99,7;0;95,7
No;Hypericum.perforatum;FALSE;113;1;0,1;-0,1;0,2;99,8;0;96,6
No;Rumex.longifolius;FALSE;114;1;0,1;-0,1;0,2;99,8;0;97,4
No;Scleranthus.perennis;FALSE;115;1;0,1;-0,1;0,2;99,9;0;98,3
No;Stellaria.graminea;FALSE;116;1;0,1;-0,1;0,2;99,9;0;99,1
No;Trifolium.aureoum;FALSE;117;1;0,1;-0,1;0,2;100;0;100
Yes;Achillea.millefolium;TRUE;1;78;8,1;3,6;12,7;8,1;1,9;1,1
Yes;Fragaria.vesca;TRUE;2;62;6,5;1,2;11,7;14,6;1,8;2,2
Yes;Gallium.mollugo;TRUE;3;56;5,8;2,3;9,4;20,5;1,7;3,3
Yes;Equisetum.arvense;FALSE;4;48;5;0,6;9,5;25,5;1,7;4,4
Yes;Ranunculus.acris.subsp..acris;FALSE;5;48;5;1,9;8,1;30,5;1,7;5,5
Yes;Taraxacum;FALSE;6;47;4,9;1,9;7,9;35,4;1,7;6,6
Yes;Trifolium.medium;FALSE;7;44;4,6;0,5;8,7;40;1,6;7,7
Yes;Anthriscus.sylvestris;FALSE;8;39;4,1;1,2;6,9;44,1;1,6;8,8
Yes;Cirsium.arvense;FALSE;9;38;4;1;7;48;1,6;9,9
Yes;Equisetum.sylvaticum;FALSE;10;29;3;-0,1;6,2;51;1,5;11
Yes;Trifolium.pratense;FALSE;11;20;2,1;-0,3;4,4;53,1;1,3;12,1
Yes;Ranunculus.repens;FALSE;12;19;2;-0,2;4,1;55,1;1,3;13,2
Yes;Trifolium.hybridum;FALSE;13;18;1,9;0;3,8;57;1,3;14,3
Yes;Vicia.cracca;FALSE;14;18;1,9;0,2;3,6;58,9;1,3;15,4
Yes;Campanula.rotundifolia;FALSE;15;17;1,8;-0,3;3,8;60,6;1,2;16,5
Yes;Lathyrus.pratensis;FALSE;16;17;1,8;0;3,5;62,4;1,2;17,6
Yes;Potentilla.erecta;FALSE;17;16;1,7;-0,6;3,9;64,1;1,2;18,7
Yes;Tripleurospermum.inodorum;FALSE;18;16;1,7;-0,5;3,8;65,8;1,2;19,8
