Datum;County;Site;N;E;Parnr;Lupin.NoLupin;Swedish.name;Species;Occurrence;Veg.höjd 1 i cm;Veg.höjd 2;Veg.höjd 3;Veg.höjd 4;Förna 1 i cm;Förna 2;Förna 3;Förna 4;Förna 5;Förna 6;Förna 7;Förna 8;Förna 9;Förna 10;Förna 11;Förna 12;Förna 13;Förna 14;Förna 15;Förna 16
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Alsikeklöver;Trifolium hybridum;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Flockfibbla;Hieracium umbellatum;5;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Gran;Picea abies;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Gråfibbla;Pilosella officinarum;7;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Hagfibblor;Hieracium sect. Vulgata;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Harkål;Lapsana communis;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Hundkex;Anthriscus sylvestris;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Hästhov;Tussilago farfara;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Kvastfibbla;Pilosella cymosa;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Lupin;Lupinus polyphyllus;3;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Prästkrage;Leucanthemum vulgare;14;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Röllika;Achillea millefolium;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Skogsfräken;Equisetum sylvaticum;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Skogsklöver;Trifolium medium;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Smultron;Fragaria vesca;14;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Vitsippa;Anemone nemorosa;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Åkerfräken;Equisetum arvense;12;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;Ärenpris;Veronica officinalis;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Flockfibbla;Hieracium umbellatum;3;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Hagfibblor;Hieracium sect. Vulgata;6;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Hårig fibbla;Hieracium spp.;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Hästhov;Tussilago farfara;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Kvastfibbla;Pilosella cymosa;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Litenblåklocka;Campanula rotundifolia;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Lupin;Lupinus polyphyllus;16;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Maskros;Taraxacum;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Prästkrage;Leucanthemum vulgare;11;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Röllika;Achillea millefolium;8;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Smultron;Fragaria vesca;7;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Åkerfräken;Equisetum arvense;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;Lupin;Ärenpris;Veronica officinalis;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Blodrot;Potentilla erecta;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Daggkåpa;Alchemilla vulgaris;16;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Flockfibbla;Hieracium umbellatum;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Fyrkantig johannesört;Hypericum maculatum;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Gran;Picea abies;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Hagfibblor;Hieracium sect. Vulgata;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Hallon;Rubus idaeus;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Harkål;Lapsana communis;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Hästhov;Tussilago farfara;9;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Litenblåklocka;Campanula rotundifolia;6;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Lupin;Lupinus polyphyllus;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Majbräken;Athyrium filix-femina;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Maskros;Taraxacum;5;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Prästkrage;Leucanthemum vulgare;11;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Skogsfräken;Equisetum sylvaticum;3;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Skogsklöver;Trifolium medium;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Teveronika;Veronica chamaedrys;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Vanligsmörblomma;Ranunculus acris subsp. acris;14;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Vitsippa;Anemone nemorosa;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Åkerfräken;Equisetum arvense;8;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Älgört;Filipendula ulmaria;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Ängshaverrot;Tragopogon pratensis;3;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;Ärenpris;Veronica officinalis;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Blodrot;Potentilla erecta;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Daggkåpa;Alchemilla vulgaris;8;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Ekorrbär;Maianthemum bifolium;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Gran;Picea abies;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Humleblomster;Geum rivale;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Hästhov;Tussilago farfara;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Kvastfibbla;Pilosella cymosa;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Lupin;Lupinus polyphyllus;16;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Majbräken;Athyrium filix-femina;6;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Maskros;Taraxacum;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Ormbär;Paris quadrifolia;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Prästkrage;Leucanthemum vulgare;1;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Revsmörblomma;Ranunculus repens;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Röllika;Achillea millefolium;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Skogsklöver;Trifolium medium;12;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Skogsviol;Viola riviniana;6;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Smultron;Fragaria vesca;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Stormåra;Gallium mollugo;4;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Vanligsmörblomma;Ranunculus acris subsp. acris;5;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Åkertistel;Cirsium arvense;2;;;;;;;;;;;;;;;;;;;;
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Örnbräken;Pteridium aquilinum;2;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Flockfibbla;Hieracium umbellatum;1;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Gråfibbla;Pilosella officinarum;2;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Gulmåra;Galium verum;1;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Hundkex;Anthriscus sylvestris;1;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Höstfibbla;Scorzoneroides autumnalis;5;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Kvastfibbla;Pilosella cymosa;7;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Käringtand;Lotus corniculatus;1;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Lupin;Lupinus polyphyllus;4;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Maskros;Taraxacum;7;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Prästkrage;Leucanthemum vulgare;6;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Röllika;Achillea millefolium;6;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Skogsklöver;Trifolium medium;2;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Smultron;Fragaria vesca;12;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Stormåra;Gallium mollugo;12;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Tall;Pinus sylvestris;1;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Vårtbjörk;Betula pendula;1;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Åkerfräken;Equisetum arvense;6;;;;;;;;;;;;;;;;;;;;
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;Åkertistel;Cirsium arvense;1;;;;;;;;;;;;;;;;;;;;
