Datum;County;Site;N;E;Parnr;Lupin.NoLupin;Lupin;Swedish.name;Species;Occurrence;Veg.höjd 1 i cm;Veg.höjd 2;Veg.höjd 3;Veg.höjd 4;Veghgt.avg;Förna 1 i cm;Förna 2;Förna 3;Förna 4;Förna 5;Förna 6;Förna 7;Förna 8;Förna 9;Förna 10;Förna 11;Förna 12;Förna 13;Förna 14;Förna 15;Förna 16;Litt.avg
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Alsikeklöver;Trifolium hybridum;2;;;;;4,375;;;;;;;;;;;;;;;;;1,6
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Flockfibbla;Hieracium umbellatum;5;;;;;4,375;;;;;;;;;;;;;;;;;1,6
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Gran;Picea abies;1;;;;;4,375;;;;;;;;;;;;;;;;;1,6
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Gråfibbla;Pilosella officinarum;7;;;;;4,375;;;;;;;;;;;;;;;;;1,6
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Hagfibblor;Hieracium sect. Vulgata;4;;;;;4,375;;;;;;;;;;;;;;;;;1,6
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Harkål;Lapsana communis;2;;;;;4,375;;;;;;;;;;;;;;;;;1,6
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Hundkex;Anthriscus sylvestris;2;;;;;4,375;;;;;;;;;;;;;;;;;1,6
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Hästhov;Tussilago farfara;1;;;;;4,375;;;;;;;;;;;;;;;;;1,6
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Kvastfibbla;Pilosella cymosa;2;;;;;4,375;;;;;;;;;;;;;;;;;1,6
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;1;NoLupin;No;Lupin;Lupinus polyphyllus;3;;;;;4,375;;;;;;;;;;;;;;;;;1,6
