"";"Region";"Site";"parnr";"Lupin";"rich";"N";"E"
"1";"Uppland";"Backa";1;"Yes";18;"6672431.314";"617081.703"
"2";"Uppland";"Backa";1;"No";21;"6672431.314";"617081.703"
"3";"Uppland";"Backa";2;"Yes";14;"6672431.314";"617081.703"
"4";"Uppland";"Backa";2;"No";24;"6672431.314";"617081.703"
"5";"Värmland";"Bergsviken/Älvsbacka";1;"Yes";6;"6621502.938";"424552.082"
"6";"Värmland";"Bergsviken/Älvsbacka";1;"No";14;"6621444.286";"424643.157"
"7";"Värmland";"Bergsviken/Älvsbacka";2;"Yes";7;"6621488.133";"424568.097"
"8";"Värmland";"Bergsviken/Älvsbacka";2;"No";19;"6621493.859";"424560.337"
"9";"Uppland";"Brobacke";1;"Yes";17;"6654622.686";"573697.751"
"10";"Uppland";"Brobacke";1;"No";27;"6654622.686";"573697.751"
"11";"Uppland";"Brobacke";2;"Yes";9;"6654622.686";"573697.751"
"12";"Uppland";"Brobacke";2;"No";17;"6654622.686";"573697.751"
"13";"Uppland";"Brunkullsvägen";1;"Yes";19;"6644062.999";"612703.008"
"14";"Uppland";"Brunkullsvägen";1;"No";16;"6644062.999";"612703.008"
"15";"Uppland";"Brunkullsvägen";2;"Yes";10;"6644062.999";"612703.008"
"16";"Uppland";"Brunkullsvägen";2;"No";16;"6644062.999";"612703.008"
"17";"Uppland";"Bänntorpet";1;"Yes";21;"6643046.881";"602226.068"
"18";"Uppland";"Bänntorpet";1;"No";25;"6643046.881";"602226.068"
"19";"Uppland";"Bänntorpet";2;"Yes";20;"6643046.881";"602226.068"
"20";"Uppland";"Bänntorpet";2;"No";25;"6643046.881";"602226.068"
"21";"Uppland";"Dragkärret";1;"Yes";13;"6637862.681";"599380.894"
"22";"Uppland";"Dragkärret";1;"No";19;"6637862.681";"599380.894"
"23";"Uppland";"Dragkärret";2;"Yes";13;"6637862.681";"599380.894"
"24";"Uppland";"Dragkärret";2;"No";16;"6637862.681";"599380.894"
"25";"Uppland";"Enköping";1;"Yes";8;"6616274.8";"617979.682"
"26";"Uppland";"Enköping";1;"No";5;"6616274.8";"617979.682"
"27";"Uppland";"Enköping";2;"Yes";10;"6616274.306";"617964.039"
"28";"Uppland";"Enköping";2;"No";11;"6616274.306";"617964.039"
"29";"Värmland";"Flugbohöjden/Ettala";1;"Yes";10;"6589894.315";"468371.968"
"30";"Värmland";"Flugbohöjden/Ettala";1;"No";26;"6589893.959";"468414.497"
"31";"Värmland";"Flugbohöjden/Ettala";2;"Yes";11;"6589921.716";"468159.538"
"32";"Värmland";"Flugbohöjden/Ettala";2;"No";22;"6589920.66";"468152.724"
"33";"Uppland";"Gamsebo Hagaberg";1;"Yes";13;"6638672.407";"594846.876"
"34";"Uppland";"Gamsebo Hagaberg";1;"No";21;"6638672.407";"594846.876"
"35";"Uppland";"Gamsebo Hagaberg";2;"Yes";8;"6638672.407";"594846.876"
"36";"Uppland";"Gamsebo Hagaberg";2;"No";10;"6638672.407";"594846.876"
"37";"Värmland";"Gersbysäter/Gersby";1;"Yes";12;"6632348.437";"413455.72"
"38";"Värmland";"Gersbysäter/Gersby";1;"No";20;"6632365.339";"413495.384"
"39";"Värmland";"Gersbysäter/Gersby";2;"Yes";8;"6632438.293";"413663.699"
"40";"Värmland";"Gersbysäter/Gersby";2;"No";16;"6632398.12";"413570.761"
"41";"Uppland";"Gullvalla";1;"Yes";24;"6643020.781";"581185.362"
"42";"Uppland";"Gullvalla";1;"No";33;"6643020.781";"581185.362"
"43";"Uppland";"Gullvalla";2;"Yes";13;"6643020.781";"581185.362"
"44";"Uppland";"Gullvalla";2;"No";13;"6643020.781";"581185.362"
"45";"Värmland";"Häggstöd/Nyeds-Backa";1;"Yes";18;"6604020.86";"424617.595"
"46";"Värmland";"Häggstöd/Nyeds-Backa";1;"No";21;"6604024.575";"424599.019"
"47";"Värmland";"Häggstöd/Nyeds-Backa";2;"Yes";11;"6603373.979";"424325.918"
"48";"Värmland";"Häggstöd/Nyeds-Backa";2;"No";20;"6603856.071";"424337.33"
"49";"Värmland";"Jonsbol";1;"Yes";19;"6561602.694";"454714.873"
"50";"Värmland";"Jonsbol";1;"No";19;"6561616.409";"454779.032"
"51";"Uppland";"Kårbo";1;"Yes";9;"6647874.775";"572017.287"
"52";"Uppland";"Kårbo";1;"No";16;"6647874.775";"572017.287"
"53";"Uppland";"Kårbo";2;"Yes";15;"6647874.775";"572017.287"
"54";"Uppland";"Kårbo";2;"No";16;"6647874.775";"572017.287"
"55";"Uppland";"Kölnbacken";1;"Yes";10;"6647467.838";"571776.943"
"56";"Uppland";"Kölnbacken";1;"No";28;"6647467.838";"571776.943"
"57";"Uppland";"Kölnbacken";2;"Yes";11;"6647467.838";"571776.943"
"58";"Uppland";"Kölnbacken";2;"No";17;"6647467.838";"571776.943"
"59";"Uppland";"Larsbo";1;"Yes";17;"6635699.593";"617506.193"
"60";"Uppland";"Larsbo";1;"No";13;"6635699.593";"617506.193"
"61";"Uppland";"Larsbo";2;"Yes";22;"6635699.593";"617506.193"
"62";"Uppland";"Larsbo";2;"No";26;"6635699.593";"617506.193"
"63";"Uppland";"Lilla harnevi";1;"Yes";12;"6622216.136";"617917.168"
"64";"Uppland";"Lilla harnevi";1;"No";9;"6622216.136";"617917.168"
"65";"Uppland";"Lilla harnevi";2;"Yes";9;"6622216.136";"617917.168"
"66";"Uppland";"Lilla harnevi";2;"No";7;"6622216.136";"617917.168"
"67";"Uppland";"Littersbo 1";1;"Yes";17;"6640139.076";"601155.305"
"68";"Uppland";"Littersbo 1";1;"No";27;"6640139.076";"601155.305"
"69";"Uppland";"Littersbo 1";2;"Yes";23;"6640139.076";"601155.305"
"70";"Uppland";"Littersbo 1";2;"No";24;"6640139.076";"601155.305"
"71";"Uppland";"Littersbo 2";1;"Yes";12;"6642001.086";"601337.674"
"72";"Uppland";"Littersbo 2";1;"No";14;"6642001.086";"601337.674"
"73";"Uppland";"Littersbo 2";2;"Yes";11;"6642001.086";"601337.674"
"74";"Uppland";"Littersbo 2";2;"No";23;"6642001.086";"601337.674"
"75";"Uppland";"Lydinge";1;"Yes";11;"6634869.563";"617688.285"
"76";"Uppland";"Lydinge";1;"No";14;"6634869.563";"617688.285"
"77";"Uppland";"Lydinge";2;"Yes";12;"6634807.714";"617690.246"
"78";"Uppland";"Lydinge";2;"No";12;"6634807.714";"617690.246"
"79";"Värmland";"Manhem/Asphyttan";1;"Yes";14;"6610494.976";"453678.906"
"80";"Värmland";"Manhem/Asphyttan";1;"No";14;"6610477.389";"453660.131"
"81";"Värmland";"Manhem/Asphyttan";2;"Yes";16;"6610663.505";"453740.213"
"82";"Värmland";"Manhem/Asphyttan";2;"No";18;"6610680.146";"453745.495"
"83";"Uppland";"Missionskyrkan";1;"Yes";11;"6638922.619";"594949.382"
"84";"Uppland";"Missionskyrkan";1;"No";14;"6638922.619";"594949.382"
"85";"Uppland";"Missionskyrkan";2;"Yes";17;"6638922.619";"594949.382"
"86";"Uppland";"Missionskyrkan";2;"No";20;"6638922.619";"594949.382"
"87";"Uppland";"Motocrossbanan ";1;"Yes";22;"6643174.882";"602377.956"
"88";"Uppland";"Motocrossbanan ";1;"No";21;"6643174.882";"602377.956"
"89";"Uppland";"Motocrossbanan ";2;"Yes";16;"6643174.882";"602377.956"
"90";"Uppland";"Motocrossbanan ";2;"No";26;"6643174.882";"602377.956"
"91";"Värmland";"Nordsjö";1;"Yes";9;"6621252.416";"413655.448"
