Site;Region
Bergsviken/Älvsbacka;Värmland
Brobacke;Uppland
Brunkullsvägen;Uppland
Bänntorpet;Uppland
Enköping;Uppland
Flugbohöjden/Ettala;Värmland
Gersbysäter/Gersby;Värmland
Gullvalla;Uppland
Häggstöd/Nyeds-Backa;Värmland
Jonsbol;Värmland
Kölnbacken;Uppland
Lilla harnevi;Uppland
Manhem/Asphyttan;Värmland
Nordsjö;Värmland
Nykroppa Herrhult;Värmland
Odensfors;Uppland
Ransta;Uppland
Rämmen-Haget;Värmland
Rödmossa;Uppland
Snavlunda äng;Värmland
Solbo;Uppland
Stavkärr/Svinnersta;Värmland
Torsked;Värmland
Österunda2;Uppland
