Site;parnr;Lupin;coord x;coord y;namn;Litter.avg;Veghet.avg
Backa;1;No;60.1717241732246;17.109765716024;7fa27f94-803a-4be1-844b-206acc499f7d;0,2;23,75
Backa;2;No;60.1719972221855;17.1102722221138;dd3d4f32-963b-49b7-bf3b-867306baa4e5;0,4;38,75
Backa;1;Yes;60.1718338173839;17.1099117874791;2ae50b81-0264-4b0a-9fcb-28c37352be66;2,2;76,25
Backa;2;Yes;60.1719534217088;17.1102079871811;17d46d7d-e64f-498e-b784-2f61c0613ce4;1,2;58,75
Brobacke;1;No;60.0220232899028;16.3218401193925;4110d13d-aff7-4e40-8fe6-6ab9d9be8902;0;4,375
Brobacke;2;No;60.0221987397262;16.3225641875627;69103ead-2532-42e9-9580-4bd9baf87e3c;0;27,5
Brobacke;1;Yes;60.0220279701509;16.3220458722202;f1c4c93b-b3bf-4560-abc3-58b8468de0b5;0,2;45
Brobacke;2;Yes;60.0221815584044;16.3224795393135;1c5999e7-af0e-4aba-b4fd-04c3dc84e212;0,2;57,5
Brunkullsvägen;1;No;59.9184950133894;17.0150384070428;af106f46-c1b5-4f48-a322-dd73d87519a6;1,4;10,625
Brunkullsvägen;2;No;59.9185989629435;17.0156189459901;0ecefadc-5a79-4dc6-a767-7240dd05e514;0,6;3,125
Brunkullsvägen;1;Yes;59.9184963713852;17.0151731651152;043859b6-06cc-418d-a780-67926db73168;1;30
Brunkullsvägen;2;Yes;59.9185654958189;17.0154982339755;fe09a2f6-36b8-4fe6-a573-5877654958a1;1,4;41,25
Bänntorpet;1;No;59.911903417624;16.8278218715423;907a3ee1-3ee8-4698-a65d-60b6b05f38d5;2,2;3,75
Bänntorpet;2;No;59.9117015812763;16.8272952360036;38f1b28f-201d-42cd-bdf7-5b9d75204e86;0,6;7,5
Bänntorpet;1;Yes;59.9118797389404;16.827664710385;a7073b6c-df5f-42b3-9451-4d3dd05a1c94;1,6;33,125
Bänntorpet;2;Yes;59.9117329296439;16.8273972441957;4b058406-6c46-4b84-a8f1-3c47e37b6d70;1;46,25
Dragkärret;1;No;59.8662458858494;16.7746919572941;97fcdefc-76c4-40ec-bfcd-37f191f5fb48;1;9,375
Dragkärret;2;No;59.8662646936536;16.7741769504467;b1c879ee-f25f-409f-9033-1a93846e4859;0,2;3,75
Dragkärret;1;Yes;59.8662486985649;16.7746167521351;49170a37-4be0-4ca8-9871-62efc245ec90;0,2;48,75
Dragkärret;2;Yes;59.8662574384108;16.7742524628296;9d95a9dd-2b43-4df8-afc7-ce1334ad3919;2,2;45
Enköping;1;No;59.6679606836574;17.0943324474404;10247431-688c-4e5f-84de-f91f26e59ade;1,4;2,5
Enköping;2;No;59.6679198017418;17.094254115246;ba1999a7-1040-4f2d-8864-718a4d3486a2;1,8;0,625
Enköping;1;Yes;59.667947916797;17.0943158384891;36ddcceb-9b4e-40d8-bdec-f7381fa84bde;1,6;18,75
Enköping;2;Yes;59.6679406246865;17.0942760673765;7ce719c6-a4e0-47d1-8dfd-4d28618890c2;1,4;48,75
Gamsebo Hagaberg;1;No;59.8749585867585;16.6946479305338;aeab5925-6c0d-48b7-8f70-a667bb9815e4;0;13,75
Gamsebo Hagaberg;2;No;59.8746351711028;16.6938840041145;c699f2db-3388-45c9-8cc4-cdd51a821bb0;2,2;14,375
Gamsebo Hagaberg;1;Yes;59.8748805514371;16.6944937877159;1716b59f-3b8f-4dc1-8625-96e40625b281;2,2;62,5
Gamsebo Hagaberg;2;Yes;59.8746679025319;16.6939484609311;0ed8e505-1a73-4456-8c9d-79f12afb8165;1,2;80
