Site;parnr;Lupin.NoLupin;Species;Occ
Backa;1;Lupin;Alchemilla vulgaris;3
Backa;1;Lupin;Betula pendula;1
Backa;1;Lupin;Cirsium arvense;7
Backa;1;Lupin;Fragaria vesca;7
Backa;1;Lupin;Hieracium umbellatum;2
Backa;1;Lupin;Lathyrus linifolius;1
Backa;1;Lupin;Lupinus polyphyllus;16
Backa;1;Lupin;Luzula pilosa;2
Backa;1;Lupin;Noccaea caerulescens;1
Backa;1;Lupin;Picea abies;2
Backa;1;Lupin;Prunella vulgaris;4
Backa;1;Lupin;Ranunculus acris subsp. acris;1
Backa;1;Lupin;Rumex acetosa;1
Backa;1;Lupin;Stellaria graminea;11
Backa;1;Lupin;Taraxacum;1
Backa;1;Lupin;Trifolium pratense;1
Backa;1;Lupin;Veronica chamaedrys;11
Backa;1;Lupin;Viola canina;3
Backa;1;NoLupin;Anemone nemorosa;6
Backa;1;NoLupin;Betula pendula;1
Backa;1;NoLupin;Campanula patula;1
Backa;1;NoLupin;Carex pallescens;1
Backa;1;NoLupin;Cirsium arvense;8
Backa;1;NoLupin;Equisetum arvense;8
Backa;1;NoLupin;Fragaria vesca;12
Backa;1;NoLupin;Gallium mollugo;9
Backa;1;NoLupin;Hieracium umbellatum;4
Backa;1;NoLupin;Lathyrus linifolius;14
Backa;1;NoLupin;Lathyrus pratensis;6
Backa;1;NoLupin;Luzula multiflora;2
Backa;1;NoLupin;Luzula pilosa;12
Backa;1;NoLupin;Noccaea caerulescens;1
Backa;1;NoLupin;Ranunculus acris subsp. acris;1
Backa;1;NoLupin;Rubus idaeus;5
Backa;1;NoLupin;Rumex acetosa;2
Backa;1;NoLupin;Rumex acetosella;2
Backa;1;NoLupin;Stellaria graminea;2
Backa;1;NoLupin;Veronica chamaedrys;10
Backa;1;NoLupin;Veronica officinalis;4
Backa;2;Lupin;Cirsium arvense;1
Backa;2;Lupin;Equisetum arvense;1
Backa;2;Lupin;Equisetum sylvaticum;2
Backa;2;Lupin;Fragaria vesca;1
Backa;2;Lupin;Geum urbanum;7
Backa;2;Lupin;Lathyrus linifolius;2
Backa;2;Lupin;Lupinus polyphyllus;16
Backa;2;Lupin;Ranunculus acris subsp. acris;2
Backa;2;Lupin;Ranunculus repens;2
Backa;2;Lupin;Rubus idaeus;1
Backa;2;Lupin;Salix aurita;2
Backa;2;Lupin;Taraxacum;7
Backa;2;Lupin;Veronica chamaedrys;2
