County;Site;parnr
Uppsala;Backa;1
Värmland;Bergsviken/Älvsbacka;1
Uppsala;Brobacke;1
Uppsala;Brunkullsvägen;1
Uppsala;Bänntorpet;1
Uppsala;Dragkärret;1
Uppsala;Enköping;1
Värmland;Flugbohöjden/Ettala;1
Uppsala;Gamsebo Hagaberg;2
Värmland;Gersbysäter/Gersby;1
Uppsala;Gullvalla;2
Värmland;Häggstöd/Nyeds-Backa;2
Värmland;Jonsbol;1
Uppsala;Kårbo;1
Uppsala;Kölnbacken;2
Uppsala;Larsbo;1
Uppsala;Lilla harnevi;2
Uppsala;Littersbo 1;2
Uppsala;Littersbo 2;1
Uppsala;Lydinge;2
Värmland;Manhem/Asphyttan;2
Uppsala;Missionskyrkan;2
Uppsala;Motocrossbanan ;1
Värmland;Nordsjö;1
Värmland;Nykroppa Herrhult;1
Uppsala;Odensfors;2
Uppsala;Ransta;1
Uppsala;Runhällen;2
Värmland;Rämmen-Haget;1
Uppsala;Röcklingeås;1
Uppsala;Rödmossa;1
Uppsala;Slutbo;2
Örebro;Snavlunda äng;1
Uppsala;Solbo;2
Örebro;Stavkärr/Svinnersta;3
Uppsala;Söderfors;1
Uppsala;Sörbäck;2
Värmland;Torsked;1
Uppsala;Västerby;1
Uppsala;Östanbäck;2
Uppsala;Östanbäcks kloster;1
Uppsala;Österunda1;1
Uppsala;Österunda2;1
