"";"Region";"Site";"parnr";"Lupin";"shannon"
"1";"East region";"Brobacke";1;"Yes";10,7823405206973
"2";"East region";"Brunkullsvägen";1;"Yes";10,2016582652042
"3";"East region";"Bänntorpet";1;"Yes";12,6891577375625
"4";"East region";"Enköping";1;"Yes";5,70000568729309
"5";"East region";"Gullvalla";2;"Yes";7,64498185515825
"6";"East region";"Kölnbacken";2;"Yes";6,25198784740667
"7";"East region";"Lilla harnevi";2;"Yes";5,73471214571735
"8";"East region";"Odensfors";2;"Yes";13,7084063781732
"9";"East region";"Ransta";1;"Yes";7,66663849287366
"10";"East region";"Rödmossa";1;"Yes";10,7836100687608
"11";"East region";"Solbo";2;"Yes";8,41039507926819
"12";"East region";"Österunda2";1;"Yes";18,9687062507158
"13";"West region";"Bergsviken/Älvsbacka";1;"Yes";2,52219381313282
"14";"West region";"Flugbohöjden/Ettala";1;"Yes";3,72041058011301
"15";"West region";"Gersbysäter/Gersby";1;"Yes";4,18334815291536
"16";"West region";"Häggstöd/Nyeds-Backa";2;"Yes";6,06867752836098
"17";"West region";"Jonsbol";1;"Yes";11,4731834122646
"18";"West region";"Manhem/Asphyttan";2;"Yes";6,87398651168426
"19";"West region";"Nordsjö";1;"Yes";3,22520697381713
"20";"West region";"Nykroppa Herrhult";1;"Yes";3,39932082440151
"21";"West region";"Rämmen-Haget";1;"Yes";6,7365279491854
"22";"West region";"Snavlunda äng";1;"Yes";2,88909770562907
"23";"West region";"Stavkärr/Svinnersta";3;"Yes";7,31547019113254
"24";"West region";"Torsked";1;"Yes";4,15424173615638
"25";"East region";"Brobacke";1;"No";17,9372929932896
"26";"East region";"Brunkullsvägen";1;"No";10,1112496642508
"27";"East region";"Bänntorpet";1;"No";14,7968954218354
"28";"East region";"Enköping";1;"No";2,94833406848501
"29";"East region";"Gullvalla";2;"No";7,93708160355333
"30";"East region";"Kölnbacken";2;"No";10,1523355717856
"31";"East region";"Lilla harnevi";2;"No";4,85724640010801
"32";"East region";"Odensfors";2;"No";14,9561626778476
"33";"East region";"Ransta";1;"No";11,5899802936745
"34";"East region";"Rödmossa";1;"No";13,0630979204178
"35";"East region";"Solbo";2;"No";15,6582530777671
"36";"East region";"Österunda2";1;"No";17,1834211728315
"37";"West region";"Bergsviken/Älvsbacka";1;"No";8,81744800714276
"38";"West region";"Flugbohöjden/Ettala";1;"No";19,1939974223127
"39";"West region";"Gersbysäter/Gersby";1;"No";12,7985184842991
"40";"West region";"Häggstöd/Nyeds-Backa";2;"No";10,8281997377817
"41";"West region";"Jonsbol";1;"No";11,1109295591424
"42";"West region";"Manhem/Asphyttan";2;"No";9,09686706015895
"43";"West region";"Nordsjö";1;"No";11,6621080567123
"44";"West region";"Nykroppa Herrhult";1;"No";11,8204716159353
"45";"West region";"Rämmen-Haget";1;"No";12,1474007161574
"46";"West region";"Snavlunda äng";1;"No";14,7726443399982
"47";"West region";"Stavkärr/Svinnersta";3;"No";10,002698573674
"48";"West region";"Torsked";1;"No";5,690274217963
