"";"Region";"Site";"Lupin";"Veghgt.avg";"Litt.avg"
"1";"East region";"Brobacke";"No";4,375;0
"2";"East region";"Brobacke";"Yes";45;0,2
"3";"East region";"Brunkullsvägen";"No";10,625;1,4
"4";"East region";"Brunkullsvägen";"Yes";30;1
"5";"East region";"Bänntorpet";"No";3,75;2,2
"6";"East region";"Bänntorpet";"Yes";33,125;1,6
"7";"East region";"Enköping";"No";2,5;1,4
"8";"East region";"Enköping";"Yes";18,75;1,6
"9";"East region";"Gullvalla";"No";1,875;0
"10";"East region";"Gullvalla";"Yes";73,75;0
"11";"East region";"Kölnbacken";"No";12,5;0,2
"12";"East region";"Kölnbacken";"Yes";66,25;0,4
"13";"East region";"Lilla harnevi";"No";6,875;2,4
"14";"East region";"Lilla harnevi";"Yes";63,75;2
"15";"East region";"Odensfors";"No";13,75;1
"16";"East region";"Odensfors";"Yes";53,75;0,2
"17";"East region";"Ransta";"No";14,375;1,4
"18";"East region";"Ransta";"Yes";51,25;2
"19";"East region";"Rödmossa";"No";6,875;2,2
"20";"East region";"Rödmossa";"Yes";63,75;3,6
"21";"East region";"Solbo";"No";11,875;1
"22";"East region";"Solbo";"Yes";61,25;0,8
"23";"East region";"Österunda2";"No";11,25;1
"24";"East region";"Österunda2";"Yes";46,25;0,2
"25";"West region";"Bergsviken/Älvsbacka";"No";25,625;2,7375
"26";"West region";"Bergsviken/Älvsbacka";"Yes";77,5;2,1
"27";"West region";"Flugbohöjden/Ettala";"No";18,75;2,28125
"28";"West region";"Flugbohöjden/Ettala";"Yes";63,75;2,3875
"29";"West region";"Gersbysäter/Gersby";"No";23,75;2,81875
"30";"West region";"Gersbysäter/Gersby";"Yes";63,75;2,7625
"31";"West region";"Häggstöd/Nyeds-Backa";"No";5;1,5125
"32";"West region";"Häggstöd/Nyeds-Backa";"Yes";48,75;2,525
"33";"West region";"Jonsbol";"No";10;0,275
"34";"West region";"Jonsbol";"Yes";56,25;2,04375
"35";"West region";"Manhem/Asphyttan";"No";12,5;1,29375
"36";"West region";"Manhem/Asphyttan";"Yes";37,5;1,05
"37";"West region";"Nordsjö";"No";15;3,6
"38";"West region";"Nordsjö";"Yes";67,5;2,075
"39";"West region";"Nykroppa Herrhult";"No";19,375;1,0875
"40";"West region";"Nykroppa Herrhult";"Yes";58,75;0,83125
"41";"West region";"Rämmen-Haget";"No";11,25;0,38125
"42";"West region";"Rämmen-Haget";"Yes";41,25;1,38125
"43";"West region";"Snavlunda äng";"No";6,875;0,65625
"44";"West region";"Snavlunda äng";"Yes";52,5;2,6375
"45";"West region";"Stavkärr/Svinnersta";"No";10;2,9
"46";"West region";"Stavkärr/Svinnersta";"Yes";86,25;2,90625
"47";"West region";"Torsked";"No";11,875;2,4375
"48";"West region";"Torsked";"Yes";31,25;2,81875
