"";"County";"Site";"parnr"
"1";"Uppsala";"Backa";"1"
"2";"Värmland";"Bergsviken/Älvsbacka";"2"
"3";"Uppsala";"Brobacke";"2"
"4";"Uppsala";"Brunkullsvägen";"1"
"5";"Uppsala";"Bänntorpet";"1"
"6";"Uppsala";"Dragkärret";"2"
"7";"Uppsala";"Enköping";"2"
"8";"Värmland";"Flugbohöjden/Ettala";"2"
"9";"Uppsala";"Gamsebo Hagaberg";"1"
"10";"Värmland";"Gersbysäter/Gersby";"2"
"11";"Uppsala";"Gullvalla";"1"
"12";"Värmland";"Häggstöd/Nyeds-Backa";"2"
"13";"Värmland";"Jonsbol";"1"
"14";"Uppsala";"Kårbo";"2"
"15";"Uppsala";"Kölnbacken";"2"
"16";"Uppsala";"Larsbo";"1"
"17";"Uppsala";"Lilla harnevi";"1"
"18";"Uppsala";"Littersbo 1";"1"
"19";"Uppsala";"Littersbo 2";"2"
"20";"Uppsala";"Lydinge";"1"
"21";"Värmland";"Manhem/Asphyttan";"2"
"22";"Uppsala";"Missionskyrkan";"1"
"23";"Uppsala";"Motocrossbanan ";"2"
"24";"Värmland";"Nordsjö";"1"
"25";"Värmland";"Nykroppa Herrhult";"3"
"26";"Uppsala";"Odensfors";"2"
"27";"Uppsala";"Ransta";"1"
"28";"Uppsala";"Runhällen";"1"
"29";"Värmland";"Rämmen-Haget";"1"
"30";"Uppsala";"Röcklingeås";"2"
"31";"Uppsala";"Rödmossa";"1"
"32";"Uppsala";"Slutbo";"2"
"33";"Örebro";"Snavlunda äng";"1"
"34";"Uppsala";"Solbo";"2"
"35";"Örebro";"Stavkärr/Svinnersta";"1"
"36";"Uppsala";"Söderfors";"1"
"37";"Uppsala";"Sörbäck";"1"
"38";"Värmland";"Torsked";"1"
"39";"Uppsala";"Västerby";"2"
"40";"Uppsala";"Östanbäck";"1"
"41";"Uppsala";"Östanbäcks kloster";"2"
"42";"Uppsala";"Österunda1";"1"
"43";"Uppsala";"Österunda2";"1"
